"gene","TCGA-73-4670-01A","TCGA-50-5931-01A","TCGA-93-8067-01A","TCGA-L9-A5IP-01A","TCGA-50-5068-01A","TCGA-67-3771-01A","TCGA-97-A4M5-01A","TCGA-86-6562-01A","TCGA-44-5645-01A","TCGA-55-8207-01A","TCGA-86-8358-01A","TCGA-69-8254-01A","TCGA-78-7150-01A","TCGA-50-5946-01A","TCGA-05-4418-01A","TCGA-91-6836-11A","TCGA-44-3398-11B","TCGA-91-6835-11A","TCGA-55-6971-11A","TCGA-44-6144-11A","TCGA-50-5932-11A","TCGA-50-5939-11A","TCGA-50-5930-11A","TCGA-68-A59I-01A","TCGA-33-A5GW-01A","TCGA-21-1070-01A","TCGA-22-5489-01A","TCGA-98-8023-01A","TCGA-96-A4JK-01A","TCGA-56-1622-01A","TCGA-39-5030-01A","TCGA-56-7223-01A","TCGA-33-6737-01A","TCGA-77-A5G6-01A","TCGA-85-8481-01A","TCGA-60-2710-01A","TCGA-O2-A52V-01A","TCGA-77-A5GH-01A","TCGA-22-5491-11A","TCGA-77-7337-11A","TCGA-56-8309-11A","TCGA-43-6647-11A","TCGA-56-7580-11A","TCGA-56-7823-11A","TCGA-77-7335-11A"
"TTLL10",6.4315,6.5873,7.0196,6.0205,6.4851,5.8502,8.6032,5.6565,7.482,6.6172,6.7231,8.0086,5.9352,6.6941,6.1822,7.1956,7.7959,9.8853,6.3393,6.3057,7.2524,6.6832,6.2207,7.0182,6.7388,6.4564,6.281,6.5725,7.23,7.5291,6.6318,6.6194,6.2509,6.717,7.0292,6.6616,6.77,6.6177,6.8728,6.8863,9.9536,7.2937,6.3915,8.0601,6.9062
"TNFRSF18",7.0598,9.8106,8.4091,8.0471,7.9719,7.2026,7.4611,7.6653,7.6219,8.6334,7.134,7.2908,7.0028,9.022,7.9984,6.4896,6.7054,6.7556,6.8987,6.9247,6.5816,6.3618,6.7061,9.3343,8.9915,10.3206,9.0116,8.4204,12.8202,10.2112,9.4087,7.0839,7.6614,7.2786,10.532,9.8204,10.5446,8.5193,7.3429,6.6393,7.1475,7.0063,6.6307,6.9411,6.1661
"TNFRSF4",7.34,8.3652,7.7474,7.457,8.3097,7.6017,8.0132,7.5051,8.0312,7.3483,7.1144,7.2587,7.5181,7.5174,8.3157,7.2725,7.7767,7.047,7.5178,7.5382,7.242,7.4648,7.0842,8.5225,6.5935,7.7361,8.4583,9.613,7.9267,6.7912,8.8922,6.2778,7.804,7.258,7.4846,7.7849,7.7764,8.0363,8.0131,7.3307,8.0385,7.7106,7.3266,8.9851,7.037
"SDF4",12.9877,12.1756,13.0264,12.4704,11.7073,12.3501,12.3106,12.067,12.2734,12.119,11.7117,12.5164,12.0836,12.3996,12.6242,11.7708,12.2207,11.8881,11.8101,12.0252,11.96,12.1683,12.1485,13.1687,12.9052,12.1917,12.6397,12.4274,12.4065,12.3906,12.6625,11.2745,12.2556,12.0483,13.9932,12.5656,12.8313,12.6855,12.4148,11.4199,12.1754,12.2475,11.7323,12.1524,11.3526
"B3GALT6",10.6484,10.2808,9.9536,9.9311,8.9899,9.142,9.7401,9.8162,9.7957,8.9929,9.1971,9.1608,9.3925,10.0643,8.9116,9.1687,9.7187,9.7261,9.5775,9.638,9.6296,9.7573,9.9064,10.2,10.5103,9.8706,9.6389,10.1353,9.8074,9.1364,9.8491,9.4458,9.6791,10.0197,10.3907,9.865,9.5688,9.2566,9.7307,8.976,9.2525,9.8989,9.4012,9.7271,8.9584
"C1QTNF12",6.46,6.8409,6.7418,6.688,6.6847,7.6858,6.4066,7.2463,6.1574,6.4863,6.2065,6.1585,6.7631,7.0148,7.1457,6.2991,6.3555,6.5281,6.3393,6.4222,6.2204,6.1577,6.2207,7.3833,7.062,8.5755,7.469,6.6766,10.576,7.9271,7.8382,6.2778,6.4914,7.0904,7.0135,7.2287,6.5986,6.8388,6.1279,6.145,6.5966,6.2363,6.3653,6.549,5.6565
"UBE2J2",11.325,10.9283,11.1809,10.5539,11.0954,10.6361,10.7367,10.3438,10.2042,9.908,10.5431,10.4789,10.6443,10.6096,10.7958,10.1869,10.2312,10.2856,10.0976,10.2923,10.1189,10.1493,10.3926,11.3691,11.3187,10.2516,10.635,10.6716,10.5438,10.1671,11.0246,10.061,10.4643,10.7955,10.746,10.7097,10.8132,10.7904,10.4607,9.9465,10.1664,10.3282,9.9868,10.4054,10.2616
"SCNN1D",6.798,7.2464,7.4424,8.2397,7.8996,7.488,7.6943,6.9499,6.9666,8.4205,7.33,7.5971,6.8398,7.6563,7.4041,7.0632,6.9925,7.5958,7.2496,7.1397,6.764,6.6832,6.4494,7.7957,6.7764,6.9133,6.9099,6.9614,8.4898,6.2428,7.0117,7.5506,6.8793,7.0536,7.5757,7.1215,8.2533,7.0058,6.5644,6.6764,7.5757,6.7239,7.268,7.2728,6.2065
"ACAP3",10.8358,9.7116,10.9085,10.7925,9.2237,10.2513,11.3559,9.8896,9.7499,10.1507,11.7806,9.8332,9.2534,11.2173,10.0909,9.5159,9.7658,10.1668,9.9737,10.0504,9.5545,9.5825,9.5361,11.0344,10.4513,10.3649,9.3712,9.8158,10.7009,9.7113,9.8111,10.1373,9.477,11.1334,11.1748,11.0111,11.0896,9.718,9.5261,9.1506,10.0788,9.891,9.9828,10.2542,8.4246
"PUSL1",9.9982,9.2143,9.3848,9.1267,9.8252,9.0551,9.4004,8.7447,8.7524,8.3898,9.1366,8.5577,9.3193,9.4549,9.7344,8.3348,8.4192,8.5895,8.237,8.5368,8.3407,8.256,8.6201,9.4131,9.444,9.3007,8.4936,8.8122,9.475,8.5678,8.6606,8.4516,9.0809,9.594,10.0266,9.0428,8.5917,8.834,8.7206,8.1167,8.6521,8.4005,8.4579,8.3975,8.0917
"INTS11",12.1854,11.8292,11.7573,11.6316,10.8864,11.4259,11.7802,10.7913,10.987,11.2227,11.4943,11.3886,11.1073,12.1925,11.9709,11.0696,11.0246,11.3383,11.0962,11.1569,10.8702,10.8602,10.9769,12.0744,11.7694,11.2736,11.141,11.5909,12.4332,10.6945,11.296,11.1938,11.7031,11.9517,11.8815,11.6249,11.7688,11.6344,11.2762,10.7038,11.2309,11.1158,10.9527,11.0949,10.3381
"CPTP",11.0764,9.9516,10.9339,10.4873,9.4513,9.6815,10.1626,9.9751,9.6758,9.2068,9.4676,9.9551,10.2665,9.9375,10.3428,9.3472,10.1684,9.6335,9.5874,9.9926,9.8764,9.7962,10.0714,10.718,10.8602,9.8752,9.9834,9.4764,10.8837,9.2483,10.1293,8.6255,10.431,10.3671,10.9498,10.3636,10.1362,9.874,10.0512,9.363,9.8256,9.9252,9.4925,9.6926,8.9982
"TAS1R3",7.4685,6.2103,7.3451,7.6931,6.9112,8.7413,7.6213,8.2155,7.4685,6.4863,6.9078,7.8155,6.8249,9.9719,8.1367,6.621,6.7856,6.6751,6.8674,6.7632,6.6017,6.6039,6.8715,8.5868,6.9133,7.8968,8.1713,7.9239,8.395,6.332,8.6314,6.5843,7.1557,7.2683,7.4309,7.3174,7.286,7.6547,6.6927,6.6202,6.7076,6.9355,6.4411,6.6086,6.3122
"DVL1",12.3277,11.236,12.633,11.8568,9.9398,11.1227,12.0079,10.4342,10.4806,11.1172,10.5399,10.9939,11.1737,12.2661,12.1546,10.5377,11.0155,10.7492,10.9149,11.2154,10.9399,11.0354,10.9592,11.5082,11.0626,10.7521,10.2177,10.7282,11.4544,10.2169,10.3995,10.09,11.8544,11.2724,12.3454,10.9784,11.2323,10.6452,11.1781,10.0642,11.0231,11.0287,10.2979,10.7331,9.2005
"MXRA8",11.6182,11.1003,11.7312,9.9119,10.4231,10.6036,11.5534,11.7331,10.0887,12.9557,10.0615,9.8365,11.7508,11.6826,10.8453,9.9172,11.4092,11.0615,10.3572,10.8955,11.2536,11.5011,10.9809,11.2338,8.6981,9.6102,11.8334,12.0341,10.6682,9.7274,11.5203,9.4672,10.8867,9.356,11.9592,10.7064,10.3589,10.8902,11.6412,10.7551,10.9419,11.1885,10.8916,11.0955,11.4037
"AURKAIP1",12.2786,11.3701,10.9475,11.5798,11.7428,10.7519,10.9128,10.7158,10.5997,10.6802,10.894,10.7355,11.1565,11.2606,11.9032,10.2738,10.6047,10.5116,10.2971,10.8045,10.2003,10.36,10.729,11.5254,11.8418,10.593,10.7095,10.9323,11.0529,10.2772,10.8304,10.1767,11.4502,11.0442,11.2393,10.7514,10.9923,10.429,10.7933,9.6513,10.6895,10.4862,9.8317,10.6279,9.843
"CCNL2",11.299,11.9288,11.7047,11.4936,12.2602,11.9386,12.4193,10.6172,11.8221,12.3731,11.9715,11.5959,10.3187,12.9832,11.4562,11.433,10.7705,11.4181,11.9982,11.3212,10.8079,10.4304,10.7794,13.1544,11.5151,11.3607,10.1378,11.8969,11.4815,9.9701,10.9282,11.2563,11.3754,12.3991,11.9061,10.512,12.144,12.6717,10.4016,10.5567,11.3939,10.6115,11.5322,11.6249,9.3798
"MRPL20",11.6831,11.403,11.4429,10.9594,12.0428,10.9139,10.8058,11.0529,11.0322,11.1962,10.5439,10.954,10.9453,11.2184,11.3977,10.7471,10.7682,10.7371,10.5956,10.9504,10.543,10.5713,10.8794,11.2661,11.4438,11.0049,10.6417,10.9385,10.576,10.1951,11.0804,10.577,11.0047,11.2626,10.9551,10.778,11.2396,10.9884,11.1507,10.6663,10.7138,10.71,10.535,10.7136,11.3373
"ANKRD65",7.5662,10.6162,10.8387,6.8994,10.3048,11.0995,9.7401,10.396,10.5098,10.7022,9.3164,10.3254,6.6794,10.602,7.2221,9.7061,9.6601,10.3953,9.9797,9.8549,9.2168,9.425,9.4896,10.9602,9.8262,9.5615,9.4486,10.174,9.1854,9.2683,9.5299,8.0194,8.0566,9.3989,10.1216,10.1316,10.3528,11.1728,10.4292,8.7305,10.2223,9.2041,8.8677,9.4586,8.5506
"VWA1",12.5281,11.2098,13.1126,11.8796,11.5956,12.4018,11.5906,12.6286,12.3283,12.1437,10.4786,11.7793,10.7854,11.424,11.5357,11.466,11.3737,11.4534,11.4987,11.5952,11.1942,11.7778,11.7955,12.7608,11.4648,11.4664,10.4191,10.5604,10.6657,11.3243,10.7581,10.2956,11.7202,11.122,12.8428,11.0801,11.753,10.64,12.297,10.2944,10.9686,11.633,10.3591,12.5889,10.1324
"ATAD3C",8.1825,8.5308,7.5237,8.3658,8.509,8.6744,8.6131,9.6937,8.412,9.2911,8.5706,7.7072,7.6765,8.0376,8.2458,7.9681,8.7137,8.9935,9.3051,8.894,8.6032,8.3704,8.7994,9.3227,7.2049,7.6167,7.1453,7.3698,6.4775,6.6938,7.3241,7.7306,8.4424,7.768,7.2915,7.3362,8.7231,8.3103,9.3586,8.6583,8.5039,8.5212,8.4255,8.5617,8.3546
"ATAD3B",10.8037,10.4152,9.943,10.406,9.1353,10.0808,10.4594,8.6655,9.8569,9.6307,9.9344,9.3466,10.7722,10.6768,10.2627,8.1399,8.6908,9.1499,9.5271,9.0392,8.5081,8.5582,8.5949,10.7215,9.498,9.7269,8.801,10.119,7.7994,8.6761,9.0727,9.634,10.6205,10.0074,10.6521,9.1793,10.5146,10.2256,8.7281,8.1375,9.3501,8.7387,8.5167,9.273,7.1777
"ATAD3A",11.6911,11.15,10.8436,10.4819,9.1214,10.4085,10.6343,10.1656,9.7755,9.7543,10.8839,9.911,10.6502,10.8607,10.6329,9.1057,9.378,9.573,9.1744,9.4952,9.1634,9.157,9.4062,10.7986,10.8998,10.1939,10.2241,10.4998,10.8077,9.9809,10.3397,10.1658,10.8268,10.8935,10.9099,10.8639,10.764,10.7721,9.327,8.3248,9.7787,9.4163,8.6588,9.6607,8.0858
"TMEM240",6.7791,6.552,6.7768,6.4621,6.8955,6.1665,6.5129,6.3193,6.4427,6.8622,6.49,6.1585,6.4365,6.2932,6.5074,6.3874,6.8306,6.548,6.548,6.4737,6.4958,6.6832,6.5524,6.7406,6.2553,5.8589,6.5789,6.6567,7.1242,6.0949,6.5858,6.1875,6.5199,6.7681,6.8037,6.7629,6.3285,6.3137,6.7124,6.4235,6.6721,6.742,6.6118,6.6275,6.4022
"SSU72",12.9314,12.0478,12.4901,11.9029,12.3983,11.7264,11.3559,11.9039,11.2697,11.8429,11.4836,11.6407,12.1505,12.355,12.4033,12.0102,11.7538,11.9042,11.8155,11.9965,11.8257,11.945,12.2489,12.2,12.5382,12.0224,11.9308,11.7675,11.8908,11.3843,11.9275,11.7645,11.9704,11.778,12.1902,11.8337,12.0514,11.5329,12.2209,11.9199,11.6497,11.9056,11.6084,11.9192,12.1068
"FNDC10",7.282,8.6333,9.0732,9.046,8.6601,7.8747,8.1341,10.3765,7.1417,9.1843,7.3703,7.8016,7.0028,8.1937,8.0439,8.8276,8.2446,8.386,8.6402,8.7639,8.7231,8.5662,8.8846,8.7216,10.4387,8.7815,8.4936,7.4481,10.0493,6.999,8.5444,8.7483,7.6614,7.4757,10.4637,8.2614,7.8577,6.9929,8.9907,8.085,8.8847,8.6662,9.1262,8.9351,8.0974
"MIB2",9.9868,10.1751,9.5152,10.1455,8.8312,9.8593,10.2675,9.1395,10.041,9.9232,9.3258,9.967,9.6007,10.116,9.6975,9.3472,10.0744,9.8714,10.0949,9.8981,9.8368,9.8177,9.7369,10.8623,10.5298,9.8505,9.056,10.42,10.7849,8.9828,9.8827,8.6415,9.8288,10.6834,10.852,10.1877,9.9868,10.4391,9.7745,8.5173,10.0554,10.0174,9.3743,10.1555,7.8713
"MMP23B",6.9373,6.6212,6.5858,7.0467,7.9973,7.0282,7.1216,7.6446,7.008,7.6055,6.5091,6.962,6.7305,8.0933,6.6914,6.8973,8.106,7.2849,7.1446,7.4939,7.4952,8.241,7.3415,7.3734,6.291,6.8068,6.8622,7.2305,7.2794,6.2741,6.9173,6.2778,6.8218,6.8475,7.1331,6.5868,6.8593,7.5305,8.0004,7.0716,7.3242,7.2506,7.7629,7.1801,7.0903
"CDK11B",11.2214,10.9853,11.1687,10.7704,9.6743,10.6928,10.6532,10.5776,10.422,10.984,10.5463,11.0248,10.831,11.4038,10.5308,10.4332,10.6638,10.6192,10.8178,10.8352,10.6004,10.6572,10.8102,10.9941,11.1456,10.3993,10.5887,10.4977,10.8571,9.9036,10.8466,10.5212,10.86,11.0556,11.0233,10.4884,11.0902,11.1855,10.8291,10.228,10.7976,10.8801,10.2178,10.6964,9.535
"SLC35E2B",11.5884,11.6817,11.2344,10.5581,10.2938,10.9173,11.9305,10.8832,11.5671,10.8067,11.6292,11.0711,10.9645,10.9065,10.4974,11.5105,11.4586,11.7762,11.735,11.3176,11.0389,11.4512,11.1891,12.1061,11.3562,10.6324,11.0231,11.3518,10.5917,10.2112,11.5666,11.4549,10.196,11.574,10.3725,10.1521,10.2984,11.1885,11.113,11.2538,10.6632,11.473,11.5448,10.9687,10.8065
"CDK11A",10.3477,10.3472,10.6224,10.2086,9.1895,10.3563,10.3265,9.7824,9.6511,10.2208,9.4213,11.0474,10.3732,10.9051,9.9429,9.7766,9.9318,9.9593,10.1912,10.1208,9.9917,9.8914,9.9429,10.9078,10.4761,9.7704,9.6389,10.1647,10.2519,8.8907,10.1101,10.0087,10.1806,10.5219,10.5273,9.3254,10.7201,10.228,9.9674,9.5684,10.3204,9.891,9.7262,10.1758,8.7442
"SLC35E2",8.724,8.8422,8.1432,7.9848,7.5262,8.425,8.7528,8.0928,9.0473,8.1996,8.3943,8.6165,8.1426,8.675,7.7673,8.3018,8.5416,8.6302,8.6517,8.2244,8.1805,8.5053,7.8185,8.547,8.0011,7.5276,8.2358,8.2159,8.1249,7.3318,8.3979,8.6666,7.316,8.6155,7.9313,7.7849,7.7829,8.0363,8.1279,8.1477,7.9238,8.405,8.5471,8.3294,7.6559
"NADK",12.4753,11.521,12.3763,12.0286,11.171,12.5569,11.7716,11.5011,11.2697,10.9688,11.646,11.6729,12.9895,11.7893,12.6419,11.3181,11.3687,11.04,11.3452,11.4489,11.2186,11.1871,11.6019,12.0367,11.5026,11.2229,10.761,11.3337,11.1221,10.3548,11.3562,10.8546,12.091,10.8457,11.3563,11.7341,11.2757,11.3373,11.5,11.1383,11.5116,11.3794,11.2548,11.2276,10.8361
"GNB1",15.0439,14.0755,14.5975,13.2881,13.4037,12.8233,13.6685,13.733,12.7293,13.6725,13.8927,13.1929,14.042,13.9009,14.1412,13.7342,13.7512,13.4377,13.5892,13.8598,13.9862,13.8965,13.9602,13.76,13.7787,13.3803,14.0101,13.5517,13.0967,13.7647,14.0802,13.4852,14.1934,13.8336,14.4436,14.3069,14.2218,14.2165,13.8412,14.0534,13.7299,13.949,13.6473,13.7213,13.9654
"TMEM52",7.4786,7.2374,6.9353,7.0188,7.4225,7.6089,7.4296,7.4082,6.3614,6.4372,7.3623,6.6053,6.6251,7.3608,7.2703,6.5131,6.3555,6.6751,6.5011,6.6707,6.6592,6.5828,6.6217,6.3028,6.9133,7.1099,7.6284,6.7517,8.1199,6.4342,6.6538,7.2426,7.9248,6.976,8.1558,8.4367,7.9169,6.4697,6.5872,6.6006,6.5966,6.542,6.179,6.6086,6.4562
"CFAP74",6.514,6.2679,7.3451,6.3487,6.8634,6.129,9.2464,6.1992,8.4706,7.0189,6.3864,8.6011,6.0501,7.2599,6.7119,7.8534,8.5045,10.7591,6.203,6.2382,7.3612,6.756,6.1793,6.6854,6.0248,6.7906,6.7222,6.6365,7.1462,7.5757,6.2655,6.4891,5.8826,6.1051,7.474,7.1871,7.0529,6.055,6.1279,7.3013,10.3506,7.5152,6.2147,8.4303,7.1656
"GABRD",7.0305,7.5166,7.1349,7.3141,6.5572,6.7898,7.132,6.8981,6.5824,7.6604,7.1045,6.3911,6.6436,6.7266,7.0637,6.2322,6.7383,6.5863,6.5011,6.6308,6.9021,7.2455,6.4494,6.9192,6.7946,7.1568,7.957,6.7695,7.5701,6.5842,7.2168,6.8981,6.5199,6.6629,7.2665,7.4348,7.5591,7.1385,7.6359,6.145,6.8369,6.8906,6.552,7.1474,6.8748
"PRKCZ",10.9772,9.6315,11.1126,9.8218,10.6752,10.684,12.0219,10.3337,11.0087,10.7325,9.5544,10.7286,9.5322,10.9309,10.5614,11.9657,11.492,11.5509,11.8033,12.0169,11.7825,11.4639,12.2436,10.7994,10.3778,10.0495,9.6658,9.3371,10.0236,9.6381,9.6622,9.7904,11.6738,10.7082,11.1253,10.3974,10.468,10.0132,12.0836,11.5674,11.6445,11.7102,10.9331,11.3049,11.247
"FAAP20",11.4138,11.0454,11.2232,10.7516,11.5976,10.8326,11.276,10.4314,10.4024,10.5028,9.9634,10.4537,10.2374,10.9436,10.9035,10.8785,10.6712,10.8552,10.8294,11.1034,10.5849,10.6544,11.2076,10.9677,10.7783,10.0509,10.371,10.9864,11.028,9.8735,10.3524,10.182,11.0143,10.988,11.281,10.7873,10.7717,10.7316,11.1982,10.4239,10.9155,10.6611,10.4005,10.8951,10.3334
"SKI",11.3353,11.3332,11.9008,11.6703,9.8046,10.905,12.0252,11.9826,11.3836,12.1877,10.7597,11.5853,11.9322,11.6601,10.9732,12.1846,12.6126,12.2569,12.333,12.2639,12.8518,13.0776,12.538,12.2717,11.496,11.7192,11.8384,11.9671,11.3093,11.1841,12.2893,10.472,11.8102,11.8405,12.3192,12.038,11.3734,12.5859,11.983,12.5418,12.0674,12.9571,12.2096,12.2593,11.6969
"MORN1",8.6296,8.1981,8.824,9.6069,7.7867,7.8451,9.1539,7.5509,8.6775,8.3809,7.8559,8.8133,8.6104,8.5703,8.1837,7.8863,8.4391,9.5951,7.7528,7.8458,7.7747,7.5442,7.6246,8.119,8.1649,7.9402,8.4494,8.3556,8.28,7.5211,7.8754,7.984,8.0773,7.6605,8.3807,8.1121,8.1791,8.4476,7.8524,7.321,9.3043,8.0003,7.7629,8.1276,7.0232
"RER1",13.2852,11.9687,12.5004,12.4084,12.9936,12.065,12.1369,12.1352,12.1929,12.1026,11.4181,12.0938,12.419,12.1143,12.8134,11.9973,11.9351,11.9227,11.8617,12.0895,11.8655,11.8989,12.1021,12.4931,12.647,12.0175,11.9205,11.7278,11.5136,11.4732,11.9376,11.2491,12.6658,11.9906,12.7075,11.7685,12.0006,12.3176,12.0355,11.8236,11.8448,11.9321,11.8805,11.934,12.1448
"PEX10",11.912,11.0505,11.0296,10.7426,10.8509,10.1817,10.8426,10.9099,10.937,10.8445,10.172,10.3821,10.9139,10.881,11.0351,10.8855,10.8982,10.9715,10.7649,10.9541,10.8444,10.861,11.0233,10.8397,11.3119,10.2037,10.6436,10.7237,10.5653,10.1215,10.7098,10.2254,10.6828,10.8302,11.2635,10.9093,10.5765,10.9891,11.1855,10.6295,10.8716,10.8674,10.7066,10.8416,10.7029
"PLCH2",7.3952,7.658,8.326,7.3249,7.4126,6.7593,9.0063,6.9872,7.1417,8.9036,7.2797,8.6693,6.3057,7.486,6.8949,7.6828,7.4885,9.4303,7.2717,7.0376,6.764,6.39,6.8545,9.0368,10.8395,10.3594,9.3967,10.7174,8.8916,9.5789,10.083,6.7321,7.0183,10.7142,11.2983,10.3574,11.8462,11.8061,6.8728,6.9698,8.5348,7.0597,6.8613,7.7296,6.3122
"PANK4",10.3025,9.7044,9.8246,9.2979,9.5844,9.4967,9.5877,9.3042,9.8327,9.2817,9.9123,9.5109,9.4852,10.022,9.8592,9.4646,9.6684,9.6532,9.5147,9.7986,9.562,9.6543,9.7706,9.7698,10.1319,9.1639,9.3429,9.4913,9.7785,9.2594,9.7644,9.2601,9.9945,9.9851,9.8516,9.942,10.0603,9.6568,9.4538,9.4073,9.7611,9.639,9.3211,9.792,9.2443
"TNFRSF14",10.4904,9.6706,11.048,10.2666,11.8203,11.4043,11.6933,10.5862,10.6406,10.7755,10.644,11.9729,9.8756,10.86,11.1224,11.3392,11.1846,10.9882,11.2147,11.7115,10.9102,10.8001,10.7775,10.5115,9.9761,11.2989,10.8328,12.0821,10.8687,8.9828,11.3737,8.2857,11.0569,10.2189,11.2307,10.3269,10.4012,12.42,11.3898,10.7576,11.6928,11.0287,11.0875,11.3664,10.8395
