"pert_id","drug","dose","time","cell_line","moa"
"PERT0110","drug-004",1.11,"6 h","MCF7","HDAC inhibitor"
"PERT0111","drug-026",3.33,"6 h","MCF7","CDK inhibitor"
"PERT0112","drug-036",1.11,"6 h","MCF7","EGFR inhibitor"
"PERT0113","drug-019",1.11,"24 h","VCAP","EGFR inhibitor"
"PERT0114","drug-024",10,"24 h","A375","calcium channel blocker"
"PERT0115","drug-035",0.37,"6 h","MCF7","calcium channel blocker"
"PERT0116","drug-037",0.37,"24 h","MCF7","unknown"
"PERT0117","drug-029",0.12,"24 h","VCAP","unknown"
"PERT0118","drug-014",3.33,"6 h","HA1E","MEK inhibitor"
"PERT0119","drug-037",0.12,"6 h","HA1E","unknown"
"PERT0120","drug-025",10,"6 h","VCAP","calcium channel blocker"
