"gene","logFC","AveExpr","t","pvalue","padj"
"GENE0101",0.1905,7.0641,0.3116,0.7642,0.9888
"GENE0102",-0.4157,4.9672,-0.9374,0.3709,0.894
"GENE0103",-0.1222,6.0112,-0.4453,0.6665,0.9861
"GENE0104",0.2126,4.8629,0.8557,0.4122,0.9008
"GENE0105",-0.4467,3.906,-1.1335,0.2973,0.8716
"GENE0106",-0.0684,6.1967,-0.1149,0.911,0.9908
"GENE0107",0.317,4.3506,0.6335,0.5416,0.9569
"GENE0108",0.2399,6.7968,0.3656,0.7225,0.9879
"GENE0109",0.1561,6.5349,0.5755,0.5785,0.9693
"GENE0110",-0.0496,5.7519,-0.107,0.9169,0.9908
"GENE0111",-0.2175,5.3924,-0.6923,0.5051,0.9416
"GENE0112",-0.3936,4.7605,-1.7614,0.1087,0.6048
"GENE0113",0.328,3.6407,1.3102,0.2259,0.8033
"GENE0114",0.132,7.9817,0.3101,0.7631,0.9888
"GENE0115",-0.5682,5.9706,-2.603,0.0281,0.2886
"GENE0116",-0.531,7.8442,-0.96,0.3608,0.8914
"GENE0117",0.1071,2.5416,0.1352,0.8954,0.9895
"GENE0118",-0.0164,6.9534,-0.0564,0.9562,0.9908
"GENE0119",-0.4931,7.4313,-1.0551,0.3241,0.8739
"GENE0120",0.3479,5.9227,1.1814,0.2648,0.8504
"GENE0121",0.0655,5.3301,0.1052,0.9183,0.9908
"GENE0122",-0.1612,4.3488,-0.4404,0.6697,0.9867
"GENE0123",0.4698,9.635,1.3591,0.204,0.7864
"GENE0124",0.0211,7.9179,0.0553,0.9571,0.9908
"GENE0125",-0.3971,9.5465,-1.1385,0.2815,0.8617
"GENE0126",0.159,5.8995,0.4847,0.6444,0.9793
"GENE0127",0.2053,4.957,0.8181,0.4326,0.9045
"GENE0128",0.1092,2.8888,0.5192,0.6149,0.9745
"GENE0129",0.2683,4.5562,0.7605,0.4661,0.9222
"GENE0130",0.0303,6.489,0.1298,0.9,0.9895
"GENE0131",0.3728,8.0877,1.0392,0.3292,0.8739
"GENE0132",-0.0752,6.8937,-0.1082,0.9162,0.9908
"GENE0133",-0.7282,3.4988,-1.3408,0.2097,0.7895
"GENE0134",0.1322,6.6944,0.2112,0.8374,0.9888
"GENE0135",-0.0163,3.187,-0.046,0.9642,0.9911
"GENE0136",-0.2032,4.9475,-0.5871,0.5702,0.9689
"GENE0137",0.1428,5.1186,0.5363,0.6039,0.9745
"GENE0138",0.757,2.4066,2.5277,0.03,0.3043
"GENE0139",2.1976,8.9622,7.9654,2.969e-05,0.002036
"GENE0140",0.0505,4.8811,0.1586,0.8773,0.9888
"GENE0141",0.2035,5.5255,0.4954,0.6344,0.9745
"GENE0142",0.4255,9.0112,1.0642,0.3323,0.8739
"GENE0143",0.201,6.7695,0.6378,0.5381,0.9557
"GENE0144",-1.6251,5.097,-4.3725,0.001401,0.03113
"GENE0145",0.6531,6.7847,0.9427,0.3741,0.894
"GENE0146",-0.5185,7.4021,-1.3109,0.2198,0.8019
"GENE0147",0.4553,9.6352,1.4789,0.17,0.7223
"GENE0148",0.7203,6.5032,1.5238,0.1686,0.7213
"GENE0149",0.1129,7.2009,0.204,0.8426,0.9888
"GENE0150",-0.1162,6.1233,-0.3203,0.7559,0.9888
"GENE0151",0.2148,5.2727,0.4111,0.6931,0.9879
"GENE0152",1.398,7.0587,2.6408,0.03248,0.3153
"GENE0153",-1.4906,8.5861,-6.2258,0.0004782,0.0131
"GENE0154",-0.0978,4.3264,-0.1575,0.8782,0.9888
"GENE0155",1.5605,7.3004,5.4403,0.0003651,0.0109
"GENE0156",0.5383,8.8549,2.2728,0.04639,0.4017
"GENE0157",-0.2084,5.8746,-0.8444,0.4195,0.903
"GENE0158",-0.1676,3.7336,-0.5179,0.6175,0.9745
"GENE0159",-0.1741,4.2658,-0.3354,0.7444,0.9888
"GENE0160",0.0506,5.1448,0.1559,0.8792,0.9888
"GENE0161",0.0624,4.183,0.2481,0.8094,0.9888
"GENE0162",0.3535,5.5017,1.345,0.2086,0.7895
"GENE0163",0.6391,5.6188,1.9909,0.07985,0.526
"GENE0164",-0.5694,5.8105,-0.9357,0.3823,0.8962
"GENE0165",-0.043,7.0001,-0.1009,0.922,0.9908
"GENE0166",-0.0485,7.5399,-0.1357,0.8949,0.9895
"GENE0167",0.237,9.869,0.6211,0.5511,0.9626
"GENE0168",0.5018,5.686,1.4871,0.1705,0.7227
"GENE0169",-0.1503,5.3273,-0.4588,0.6606,0.9861
"GENE0170",-0.731,9.3191,-0.8674,0.4063,0.9008
"GENE0171",-0.0103,9.9175,-0.0205,0.9842,0.9959
"GENE0172",-0.4905,6.3688,-0.7674,0.4607,0.9189
"GENE0173",-0.2255,5.3013,-0.6165,0.5588,0.9649
"GENE0174",-0.5833,2.5654,-1.1015,0.2977,0.8716
"GENE0175",-0.0029,8.9764,-0.0068,0.9948,0.9993
"GENE0176",0.1359,4.1674,0.2216,0.8291,0.9888
"GENE0177",0.1331,3.8628,0.416,0.6897,0.9879
"GENE0178",0.2306,12.1228,0.8076,0.4495,0.9154
"GENE0179",0.6044,6.5705,0.8758,0.4068,0.9008
"GENE0180",-1.1645,5.7479,-3.6018,0.005418,0.08956
"GENE0181",-0.6533,0.2665,-2.6877,0.0274,0.2886
"GENE0182",-0.8096,5.8643,-2.3141,0.04774,0.408
"GENE0183",-0.4299,8.1275,-1.1854,0.2691,0.8516
"GENE0184",1.9708,7.2517,3.856,0.003194,0.05861
"GENE0185",1.5085,8.0415,2.2981,0.06547,0.4831
"GENE0186",-0.4161,10.1738,-0.9325,0.3733,0.894
"GENE0187",0.4338,7.5155,0.794,0.4459,0.9146
"GENE0188",-0.0749,5.0721,-0.1188,0.9077,0.9908
"GENE0189",0.5721,7.2916,3.0168,0.02077,0.2463
"GENE0190",1.2552,6.3298,2.6053,0.02723,0.2886
"GENE0191",0.1264,4.9446,0.2585,0.8013,0.9888
"GENE0192",0.1023,0.1914,0.2652,0.7964,0.9888
"GENE0193",0.1649,4.461,0.8899,0.3949,0.9008
"GENE0194",-0.5026,7.1402,-1.0292,0.3278,0.8739
"GENE0195",0.1033,9.631,0.2563,0.8029,0.9888
"GENE0196",0.4207,6.8332,1.8462,0.1035,0.6048
"GENE0197",-0.8418,7.3757,-1.634,0.1472,0.6816
"GENE0198",0.7293,4.057,2.7875,0.0216,0.2506
"GENE0199",-0.02,6.5322,-0.1439,0.8886,0.9888
"GENE0200",-0.4818,1.4598,-0.8344,0.4248,0.9033
"GENE0201",0.8194,6.6265,1.8107,0.101,0.6011
"GENE0202",-0.2002,7.3839,-0.4866,0.6415,0.9783
"GENE0203",0.158,6.0035,0.3957,0.7018,0.9879
"GENE0204",0.2757,7.8706,0.7876,0.4502,0.9154
"GENE0205",-0.0486,7.0244,-0.11,0.915,0.9908
"GENE0206",-0.0244,7.978,-0.0337,0.9739,0.9922
"GENE0207",-0.0836,9.6849,-0.3102,0.7672,0.9888
"GENE0208",-0.5453,8.5,-1.4228,0.1869,0.7586
"GENE0209",1.7584,6.933,5.0388,0.001618,0.03444
"GENE0210",0.2767,3.5431,1.0635,0.317,0.8739
"GENE0211",-0.123,6.5751,-0.2441,0.8127,0.9888
"GENE0212",-0.3677,4.7259,-1.4367,0.1909,0.7619
"GENE0213",-0.0456,9.1425,-0.1591,0.8781,0.9888
"GENE0214",-0.0216,3.1263,-0.075,0.9418,0.9908
"GENE0215",0.7446,5.2078,1.6868,0.1225,0.6261
"GENE0216",0.4081,6.646,0.8781,0.4036,0.9008
"GENE0217",0.4405,6.1073,1.331,0.2227,0.8019
"GENE0218",-0.4009,4.463,-1.0534,0.3197,0.8739
"GENE0219",0.0377,5.3754,0.098,0.9239,0.9908
"GENE0220",-0.2526,7.1945,-1.0601,0.3163,0.8739
"GENE0221",-2.2886,6.7676,-3.7579,0.003844,0.06686
"GENE0222",-0.0552,7.4543,-0.3192,0.7584,0.9888
"GENE0223",1.2448,10.8995,2.7163,0.02187,0.2513
"GENE0224",-0.0993,8.6355,-0.1274,0.9014,0.9895
"GENE0225",0.1731,6.4172,0.4065,0.693,0.9879
"GENE0226",-0.0604,4.8179,-0.2122,0.8371,0.9888
"GENE0227",-0.1686,11.6663,-0.6621,0.524,0.9504
"GENE0228",0.319,7.3636,0.6128,0.554,0.9631
"GENE0229",-0.1984,4.6738,-0.4625,0.6537,0.9845
"GENE0230",0.1395,5.9485,0.4958,0.6315,0.9745
"GENE0231",0.1133,5.3647,0.2501,0.8079,0.9888
"GENE0232",0.035,5.3364,0.1908,0.8527,0.9888
"GENE0233",0.7222,4.3769,2.332,0.04219,0.3842
"GENE0234",-0.7545,5.826,-2.3145,0.04512,0.3976
"GENE0235",0.2184,6.6864,1.1091,0.2957,0.8704
"GENE0236",0.0898,3.9015,0.3797,0.7122,0.9879
"GENE0237",0.2713,-0.7456,0.3738,0.7177,0.9879
"GENE0238",-0.1483,5.0292,-0.5023,0.6272,0.9745
"GENE0239",-0.0992,5.61,-0.3823,0.7147,0.9879
"GENE0240",-0.2422,7.458,-0.642,0.5354,0.9543
"GENE0241",-0.3341,6.0054,-1.022,0.3325,0.8739
"GENE0242",-0.0275,6.6548,-0.0934,0.9275,0.9908
"GENE0243",0.4887,3.9771,1.9348,0.08386,0.5307
"GENE0244",0.1392,7.2292,0.7243,0.4875,0.9309
"GENE0245",0.223,7.6925,0.4995,0.6282,0.9745
"GENE0246",0.5526,6.6218,1.1625,0.272,0.8527
"GENE0247",-0.4969,7.7777,-1.3501,0.2105,0.7895
"GENE0248",0.3564,6.5761,0.9929,0.3456,0.8845
"GENE0249",-0.3358,6.4012,-1.1207,0.2964,0.8704
"GENE0250",-0.3968,6.521,-1.2913,0.2259,0.8033
"GENE0251",0.1081,6.4957,0.1996,0.846,0.9888
"GENE0252",-0.6308,8.0164,-0.9846,0.3481,0.8845
"GENE0253",-0.0382,6.5955,-0.102,0.9207,0.9908
"GENE0254",0.3495,7.7668,0.612,0.5545,0.9631
"GENE0255",-0.5,3.3633,-1.7597,0.1097,0.6048
"GENE0256",-0.2472,5.3406,-0.7191,0.4953,0.9346
"GENE0257",0.9917,9.3476,3.6064,0.005316,0.0886
"GENE0258",0.4364,3.3416,1.9847,0.08227,0.526
"GENE0259",-0.0509,6.4151,-0.1291,0.8998,0.9895
"GENE0260",0.5797,7.0122,1.196,0.2599,0.8489
"GENE0261",0.3095,8.3719,0.7475,0.4794,0.9288
"GENE0262",-0.3498,5.8499,-1.3918,0.2009,0.7831
"GENE0263",-0.0429,6.3936,-0.2019,0.8442,0.9888
"GENE0264",0.0987,2.2301,0.3315,0.7471,0.9888
"GENE0265",0.0843,6.0962,0.1352,0.8957,0.9895
"GENE0266",0.2244,4.6235,0.4995,0.6285,0.9745
"GENE0267",0.1094,5.6299,0.4267,0.6796,0.9879
"GENE0268",-0.0188,3.9346,-0.0487,0.9621,0.9911
"GENE0269",-0.1173,6.8199,-0.4747,0.647,0.9803
"GENE0270",-0.3736,7.4401,-0.7133,0.4926,0.9309
"GENE0271",-1.6433,4.3289,-4.3547,0.002031,0.04144
"GENE0272",-0.424,9.3173,-0.9257,0.381,0.8961
"GENE0273",-4e-04,7.3052,-0.0015,0.9989,0.9999
"GENE0274",0.0662,8.0179,0.215,0.8342,0.9888
"GENE0275",-1.9245,9.5934,-5.6976,0.0002043,0.007565
"GENE0276",0.1431,4.9903,0.5689,0.5846,0.9711
"GENE0277",-0.1399,7.9818,-0.467,0.6542,0.9845
"GENE0278",2.5808,9.3843,7.4261,4.149e-05,0.002515
"GENE0279",-0.5269,5.6139,-0.9611,0.3637,0.8914
"GENE0280",1.0191,7.1681,2.5931,0.03101,0.3058
"GENE0281",0.3596,4.6187,0.6552,0.5271,0.9504
"GENE0282",0.0851,6.8924,0.1605,0.8764,0.9888
"GENE0283",0.5265,4.17,1.2814,0.2438,0.8235
"GENE0284",-0.7734,7.2571,-1.4628,0.1749,0.7332
"GENE0285",-0.3202,4.1366,-0.5124,0.6198,0.9745
"GENE0286",-0.066,6.7744,-0.1279,0.9011,0.9895
"GENE0287",-0.2146,4.2967,-0.5324,0.6062,0.9745
"GENE0288",-0.2007,5.6951,-0.7878,0.4491,0.9154
"GENE0289",-1.8498,1.3894,-3.0658,0.01301,0.1747
"GENE0290",-0.2199,6.5345,-0.3647,0.7243,0.9879
"GENE0291",-4.2905,5.4917,-6.0396,0.0001769,0.006811
"GENE0292",1.0574,5.9451,3.5099,0.009364,0.1394
"GENE0293",0.3909,2.271,0.6046,0.5601,0.9649
"GENE0294",-0.0052,5.336,-0.0136,0.9894,0.9979
"GENE0295",0.0439,9.5653,0.0916,0.9288,0.9908
"GENE0296",-0.5029,9.3313,-1.4174,0.1908,0.7619
"GENE0297",-0.3996,3.4323,-1.707,0.1194,0.622
"GENE0298",0.2499,4.9296,0.6518,0.5294,0.9504
"GENE0299",1.5081,7.1478,4.5847,0.001085,0.02552
"GENE0300",-0.1224,6.6755,-0.315,0.7595,0.9888
"GENE0301",0.0913,4.9224,0.1359,0.895,0.9895
"GENE0302",-0.0262,3.7721,-0.0445,0.9654,0.9911
"GENE0303",0.3173,5.1071,0.5442,0.5983,0.9745
"GENE0304",-0.521,7.9875,-1.0696,0.3128,0.8739
"GENE0305",0.3409,6.192,1.1313,0.2861,0.8617
"GENE0306",-0.1438,4.7623,-0.7919,0.4495,0.9154
"GENE0307",-0.1521,5.013,-0.4137,0.6878,0.9879
"GENE0308",0.1695,8.8818,0.3337,0.7466,0.9888
"GENE0309",0.2268,5.1866,0.9181,0.3803,0.8958
"GENE0310",0.0831,7.218,0.214,0.8349,0.9888
"GENE0311",0.0308,8.8497,0.082,0.9363,0.9908
"GENE0312",-0.0486,7.2943,-0.1569,0.8786,0.9888
"GENE0313",0.3079,4.9776,0.4774,0.6459,0.9793
"GENE0314",0.1077,6.0816,0.2985,0.7716,0.9888
"GENE0315",-0.2734,4.9052,-1.7115,0.131,0.6502
"GENE0316",-0.6306,8.1628,-1.0898,0.307,0.8732
"GENE0317",0.1294,5.5639,0.1857,0.8564,0.9888
"GENE0318",0.0754,8.9995,0.2815,0.7845,0.9888
"GENE0319",0.3795,5.0365,1.1811,0.2675,0.8513
"GENE0320",-0.3411,4.7174,-0.8681,0.406,0.9008
"GENE0321",-0.1108,5.7347,-0.4138,0.6878,0.9879
"GENE0322",-0.2616,6.1898,-0.5564,0.5909,0.9745
"GENE0323",0.2894,4.9758,0.8686,0.4064,0.9008
"GENE0324",-0.64,2.9184,-2.1496,0.08126,0.526
"GENE0325",-0.1155,6.2401,-0.356,0.7295,0.9879
"GENE0326",0.2758,5.174,0.4938,0.6337,0.9745
"GENE0327",0.043,8.5531,0.1474,0.886,0.9888
"GENE0328",-0.6363,4.3262,-1.9671,0.07768,0.5258
"GENE0329",0.0937,8.4733,0.175,0.8646,0.9888
"GENE0330",-0.6307,4.7159,-1.3891,0.1951,0.7679
"GENE0331",-0.1437,6.8331,-0.4808,0.6416,0.9783
"GENE0332",0.0035,7.9781,0.0156,0.9879,0.9974
"GENE0333",0.661,5.3192,2.1137,0.07215,0.5081
"GENE0334",-0.3558,7.6115,-0.8634,0.4119,0.9008
"GENE0335",-0.194,6.3545,-0.6643,0.5279,0.9504
"GENE0336",-0.43,3.8093,-1.9576,0.09174,0.5611
"GENE0337",-0.1761,5.1705,-0.3725,0.7213,0.9879
"GENE0338",-0.0278,9.373,-0.0806,0.9377,0.9908
"GENE0339",-0.0232,5.468,-0.0802,0.9386,0.9908
"GENE0340",-0.132,4.4144,-0.4527,0.663,0.9861
"GENE0341",-0.4031,5.487,-0.7375,0.4801,0.9288
"GENE0342",0.0476,6.4884,0.0924,0.9292,0.9908
"GENE0343",0.123,8.263,0.4254,0.6796,0.9879
"GENE0344",0.647,7.889,1.4539,0.1892,0.7618
"GENE0345",0.1325,6.4481,0.3104,0.7631,0.9888
"GENE0346",0.0045,8.6551,0.0113,0.9912,0.9987
"GENE0347",0.6925,5.0943,1.852,0.1032,0.6048
"GENE0348",0.3635,1.734,0.9947,0.3442,0.8845
"GENE0349",0.2184,5.0297,0.8819,0.3989,0.9008
"GENE0350",-0.0779,5.214,-0.1609,0.8754,0.9888
"GENE0351",0.0704,1.4087,0.1733,0.8674,0.9888
"GENE0352",0.0812,6.9283,0.3561,0.7298,0.9879
"GENE0353",0.0024,3.803,0.0057,0.9956,0.9993
"GENE0354",0.168,5.6855,0.5827,0.5736,0.9693
"GENE0355",1.017,3.087,1.9266,0.1049,0.6048
"GENE0356",-0.2355,6.8671,-0.6024,0.5653,0.9689
"GENE0357",-0.4394,9.6551,-1.3257,0.2205,0.8019
"GENE0358",0.1446,3.8941,0.2422,0.8136,0.9888
"GENE0359",0.8236,5.8629,2.5773,0.03283,0.3157
"GENE0360",-0.5123,9.9071,-0.716,0.4994,0.9379
"GENE0361",-0.0787,8.0336,-0.301,0.7711,0.9888
"GENE0362",0.5772,10.0379,1.4276,0.1841,0.7586
"GENE0363",0.4991,5.746,1.1396,0.281,0.8617
"GENE0364",0.3039,6.1939,0.4538,0.6621,0.9861
"GENE0365",0.1867,4.7432,0.5794,0.5776,0.9693
"GENE0366",0.1554,8.7494,1.0487,0.3193,0.8739
"GENE0367",-0.5369,3.5108,-1.0319,0.3342,0.8739
"GENE0368",0.6721,6.4136,1.7692,0.1089,0.6048
"GENE0369",0.2689,5.9071,1.1057,0.2951,0.8704
"GENE0370",-0.002,10.5095,-0.008,0.9938,0.9993
"GENE0371",0.0686,4.924,0.6326,0.5412,0.9569
"GENE0372",0.8105,2.3212,1.396,0.2056,0.7864
"GENE0373",0.0682,6.5678,0.1438,0.8889,0.9888
"GENE0374",0.3875,5.8445,0.9404,0.3713,0.894
"GENE0375",-0.2846,4.278,-0.5099,0.6226,0.9745
"GENE0376",0.4808,6.0676,1.427,0.1864,0.7586
"GENE0377",-0.0899,5.3446,-0.2083,0.842,0.9888
"GENE0378",-0.1233,4.5726,-0.2026,0.845,0.9888
"GENE0379",-0.2269,6.7162,-0.4487,0.6642,0.9861
"GENE0380",0.6267,5.7537,0.8751,0.4027,0.9008
"GENE0381",0.1336,2.2954,0.2358,0.819,0.9888
"GENE0382",0.0179,0.7928,0.0562,0.9564,0.9908
"GENE0383",-0.745,5.1247,-1.7581,0.1115,0.6111
"GENE0384",0.4513,8.8875,1.439,0.1841,0.7586
"GENE0385",-0.2826,7.4133,-0.8059,0.4407,0.9106
"GENE0386",0.6701,8.6794,2.5354,0.03104,0.3058
"GENE0387",0.0637,7.9535,0.2114,0.837,0.9888
"GENE0388",0.0649,6.4965,0.2735,0.7943,0.9888
"GENE0389",-0.3648,2.4643,-0.844,0.4186,0.903
"GENE0390",0.3113,6.3036,2.2947,0.04829,0.4093
"GENE0391",0.3652,8.9129,0.9667,0.3567,0.8898
"GENE0392",0.2596,-0.7102,0.6847,0.5093,0.9416
"GENE0393",-0.1072,4.4458,-0.417,0.6874,0.9879
"GENE0394",-0.3752,8.8924,-0.9964,0.3475,0.8845
"GENE0395",-0.6011,6.8894,-2.2232,0.06137,0.4667
"GENE0396",-0.5557,7.4674,-1.3608,0.2035,0.7864
"GENE0397",0.2806,6.7375,0.3867,0.7075,0.9879
"GENE0398",0.1575,6.9101,0.7576,0.4686,0.9225
"GENE0399",1.1633,6.8693,2.5354,0.03013,0.3043
"GENE0400",0.1109,4.2083,0.3003,0.7718,0.9888
"GENE0401",-0.2812,3.2854,-1.597,0.149,0.6837
"GENE0402",0.2406,5.5532,0.6797,0.5126,0.9436
"GENE0403",0.3795,5.0625,1.1354,0.2851,0.8617
"GENE0404",0.1634,4.1859,0.3249,0.752,0.9888
"GENE0405",-0.1082,6.7158,-0.5834,0.5731,0.9693
"GENE0406",-0.3464,6.4639,-0.9514,0.3646,0.8914
"GENE0407",-0.4291,8.8672,-1.3498,0.2104,0.7895
"GENE0408",0.0885,3.7628,0.5391,0.6022,0.9745
"GENE0409",-0.7103,5.3944,-1.3033,0.222,0.8019
"GENE0410",0.3855,6.0719,0.6354,0.5407,0.9569
"GENE0411",0.254,3.276,0.4231,0.682,0.9879
"GENE0412",0.4645,5.2973,1.5177,0.1619,0.7058
"GENE0413",0.1561,4.6326,0.3195,0.7607,0.9888
"GENE0414",-0.6602,1.8147,-1.8056,0.1027,0.6048
"GENE0415",-0.6762,5.2705,-1.7154,0.1171,0.6178
"GENE0416",0.2412,4.8291,0.5537,0.5939,0.9745
"GENE0417",0.7748,8.1743,2.3166,0.04313,0.3868
"GENE0418",0.3724,4.9725,1.6116,0.1391,0.6728
"GENE0419",1.2041,7.4777,1.916,0.08572,0.5374
"GENE0420",0.1481,6.1023,0.4578,0.6569,0.9861
"GENE0421",0.4603,3.6865,1.707,0.1409,0.6728
"GENE0422",0.0021,7.0509,0.0057,0.9956,0.9993
"GENE0423",0.3367,6.0314,0.602,0.5692,0.9689
"GENE0424",1.0798,6.7723,6.0605,0.0002696,0.008988
"GENE0425",0.3343,6.8634,0.6583,0.5252,0.9504
"GENE0426",0.444,6.2257,0.9283,0.3778,0.8942
"GENE0427",-0.2958,9.7015,-0.7809,0.4542,0.9176
"GENE0428",-0.5132,5.9923,-0.955,0.3628,0.8914
"GENE0429",-0.2635,3.5818,-0.6775,0.5189,0.9486
