"gene","S01","S02","S03","S04","S05","S06","S07","S08","S09","S10","S11","S12"
"GENE0031",8.1335,7.3776,8.3848,7.3909,8.4152,7.9585,8.3497,8.1559,9.0989,8.503,7.978,7.5832
"GENE0032",5.8971,5.6011,4.7721,6.8141,4.5933,5.9844,4.5974,4.8043,5.1207,4.8689,4.8874,6.1171
"GENE0033",4.5784,4.7324,4.2247,5.1953,4.8179,5.2309,4.1385,4.4702,4.9502,4.1519,5.0724,4.4393
"GENE0034",6.2235,5.54,4.4001,6.9834,5.0124,5.5963,4.7239,3.8841,4.114,4.9556,4.4358,6.0044
"GENE0035",1.9749,2.7222,2.5874,2.6962,2.3728,2.4521,2.9602,3.2948,2.1203,2.5305,3.0662,3.4939
"GENE0036",2.335,2.4435,5.6048,5.049,4.3757,3.0081,3.5874,3.8496,5.369,4.5692,2.8391,3.7334
"GENE0037",2.7448,2.0686,2.0262,3.3811,1.492,3.5334,2.4686,2.7407,0.4251,3.6536,0.3533,4.4242
"GENE0038",3.6661,2.5004,3.9808,2.4452,3.1689,2.5304,2.052,2.4343,2.8417,2.2114,3.2399,2.833
"GENE0039",4.7977,5.6718,4.9001,3.6926,5.8068,5.0212,6.0059,5.5138,4.9376,4.3223,5.7627,5.2464
"GENE0040",5.4743,4.9203,4.8628,6.5404,5.1225,4.8917,3.8069,3.5223,5.8294,4.0526,3.46,4.4791
"GENE0041",8.735,9.4644,9.4541,7.8093,8.7634,9.0501,8.4806,9.2914,8.6455,9.3495,10.0221,9.7827
"GENE0042",2.5258,3.3334,5.0398,1.7485,4.7506,1.7881,3.4612,3.3362,3.7732,2.2126,4.3214,3.8046
"GENE0043",4.3799,4.2978,3.9827,4.2334,3.5168,5.003,5.1405,6.0773,4.421,5.4055,4.4849,4.406
"GENE0044",7.0044,6.3488,5.3694,6.1337,5.2745,6.323,2.1507,4.1318,4.7068,5.572,3.9247,4.8055
"GENE0045",4.2226,5.5293,5.289,4.1697,4.0328,4.245,2.9537,5.8823,4.1308,6.2865,3.7433,4.3158
"GENE0046",3.7082,2.6049,3.4999,2.8343,5.2703,2.2916,5.2676,2.3866,4.0437,3.3166,3.7437,4.3162
"GENE0047",3.5864,3.8747,4.0549,4.0839,4.2856,4.1285,4.1071,2.8699,3.4781,3.4533,3.971,2.6721
"GENE0048",3.4393,3.6949,3.8644,3.0737,3.3951,3.1676,3.6061,5.4489,2.601,2.7849,3.9626,5.1235
"GENE0049",5.1918,4.687,4.5554,5.1386,4.9895,4.575,5.9155,5.3772,5.4305,5.7493,5.6808,5.9535
"GENE0050",4.9553,5.25,5.4499,6.0191,5.2006,5.1919,5.0625,6.0449,5.2023,4.9076,4.398,4.8172
"GENE0051",0.7404,2.3626,1.195,1.6887,2.229,2.7552,1.0188,1.132,2.5293,0.7297,3.8877,0.8277
"GENE0052",2.0558,5.5177,4.9268,3.73,5.2512,5.527,4.4661,5.7591,3.216,4.4487,4.467,5.8992
"GENE0053",3.9758,3.2759,4.2165,4.2093,1.9211,3.8428,1.1737,1.3934,0.4616,0.1814,0.5942,-0.3018
"GENE0054",3.5936,4.624,4.5579,3.9219,3.6947,4.3364,3.695,4.3049,3.5925,3.7302,4.321,3.6901
"GENE0055",5.0016,5.8071,5.6548,6.5833,5.1805,6.9352,4.8426,6.5243,4.9494,6.1171,5.3189,6.9738
"GENE0056",7.0253,6.8347,7.5023,7.3133,6.9516,6.7208,6.9506,7.2517,7.1028,6.9325,6.4376,7.5124
"GENE0057",9.7747,9.4617,7.5255,9.2563,9.3067,7.6618,9.4645,8.3005,8.0664,9.9711,8.5373,8.2857
"GENE0058",6.1572,3.5746,3.5075,4.7731,4.5639,5.0957,5.3137,3.6167,4.0281,2.7788,4.2963,4.9132
"GENE0059",8.9397,9.0693,9.4015,9.5918,9.6347,8.845,10.3011,10.4706,10.5088,10.3278,9.6726,10.1806
"GENE0060",4.6346,2.7315,3.5975,2.7451,3.569,3.3723,3.7375,2.2436,4.4701,4.3606,3.5685,3.1921
"GENE0061",7.6574,6.5188,7.8859,8.0212,8.7618,7.1042,7.0311,7.1331,8.0514,7.2897,7.5496,6.6317
"GENE0062",11.9649,12.0013,10.2017,11.6692,11.4385,10.0639,10.0708,8.9261,8.8687,10.3373,10.6669,9.9523
"GENE0063",6.1835,6.7136,5.205,4.1995,7.1701,5.6361,6.2741,7.397,5.6408,5.8676,6.6119,4.6009
"GENE0064",4.6172,4.8334,4.8807,4.1508,4.9631,4.9354,4.2209,5.0565,4.4169,5.1095,4.1453,3.9478
"GENE0065",5.8521,5.0566,6.6471,6.483,6.0926,6.9332,6.3777,6.5404,6.436,5.7196,6.2944,5.5193
"GENE0066",10.4409,10.51,10.1788,10.4254,9.2383,8.81,8.6462,10.0703,7.1868,8.7452,9.0523,10.2611
"GENE0067",2.212,2.6929,3.1681,2.0479,6.2376,3.2495,5.7275,5.5079,5.7091,3.7454,7.2872,7.0519
"GENE0068",10.1125,9.4562,7.5227,9.9254,10.1012,8.4922,10.3251,8.3821,6.636,8.9649,7.5996,8.0052
"GENE0069",8.6809,8.4679,8.8719,8.4529,8.5182,9.1491,8.5373,8.7989,7.5996,8.7409,7.8839,8.2395
"GENE0070",6.5094,7.192,6.3283,7.4732,6.4233,7.4231,8.3974,8.4842,7.7953,8.3761,8.3237,8.552
"GENE0071",6.4168,6.071,6.3795,5.8573,5.338,5.3916,6.0198,5.2736,5.7661,5.8609,5.4522,5.7532
"GENE0072",5.2382,4.395,5.4541,4.18,4.8569,5.2289,5.2858,4.8017,3.8714,5.0001,4.8572,5.5968
"GENE0073",5.3849,4.2131,5.4694,3.542,4.244,4.61,5.3635,3.8921,4.6277,4.2149,4.2951,4.3804
"GENE0074",5.5586,6.5234,7.3657,6.4017,6.9826,7.661,7.0212,7.5995,8.021,7.0889,6.9771,6.4668
"GENE0075",10.4012,10.4172,8.4916,12.6289,11.3226,11.5185,9.3302,11.9136,10.9262,11.6034,9.7505,11.6907
"GENE0076",6.6098,6.1573,4.4362,7.9007,5.7059,7.2277,8.2716,8.7634,7.6824,9.4843,8.2952,9.085
"GENE0077",2.7238,3.7212,2.9295,3.3683,3.407,4.7358,3.566,3.1388,3.2978,3.2285,3.2587,4.302
"GENE0078",5.0893,4.7046,3.8777,4.1306,4.4179,5.1886,4.6837,4.495,3.7971,3.6739,5.1225,4.3075
"GENE0079",6.5987,5.8609,6.7512,6.4669,6.1294,6.2516,5.3759,5.9638,5.5788,5.3139,5.9346,6.2949
"GENE0080",5.2256,5.4583,5.3768,5.7704,4.6828,6.2877,6.5687,5.5837,4.8892,6.4238,4.4211,6.2707
"GENE0081",5.1317,6.8657,6.0214,4.9716,5.3684,5.4823,5.5608,5.6107,5.8334,6.4381,5.8466,4.032
"GENE0082",7.8729,5.1724,5.0001,5.9311,4.8082,5.0858,5.416,5.6776,6.2715,5.0955,3.0508,5.8823
"GENE0083",2.9437,4.278,4.6249,3.0125,4.1242,2.7596,3.6572,2.9194,4.1805,3.9047,2.4868,2.4965
"GENE0084",5.3259,6.4749,5.3777,5.289,3.919,4.5241,6.5935,4.3884,6.1107,5.6073,6.0796,5.5281
"GENE0085",6.8116,7.3428,6.7387,6.9383,7.0775,5.9335,11.5414,9.4668,10.0106,10.9194,9.9139,10.427
"GENE0086",7.3864,6.4532,7.3473,6.8513,7.2792,6.9616,7.635,7.0353,7.2668,7.1523,7.975,7.4727
"GENE0087",7.7089,6.9627,6.2186,8.1372,6.6653,7.7802,6.3336,6.785,6.5835,8.5252,7.0884,8.9351
"GENE0088",5.3534,5.3384,5.8149,4.9759,5.8512,4.6633,5.3011,4.8304,5.9092,6.2428,5.5383,4.8687
"GENE0089",5.2349,5.0778,5.8566,6.181,5.3908,5.7638,5.7166,6.0395,5.7236,5.9235,5.5283,5.549
"GENE0090",2.1283,2.6894,2.9772,3.1115,3.827,3.5935,2.7011,3.3884,2.6274,3.3821,4.2021,4.8152
"GENE0091",5.7087,5.9734,6.7328,5.9656,6.5664,4.4036,3.6682,4.9525,6.2757,4.1634,4.9946,2.7574
"GENE0092",6.8288,6.9329,6.5925,6.4484,7.1211,6.3089,5.945,6.8321,6.4941,6.384,6.4793,6.4439
"GENE0093",10.3883,9.339,11.0982,8.2263,10.2027,8.7318,10.1149,11.0713,9.6883,10.622,11.5189,9.9944
"GENE0094",7.8495,9.9989,9.1689,8.3042,7.8143,7.4963,7.9233,8.2516,7.8045,7.5423,8.3946,7.6372
"GENE0095",5.2392,4.9124,4.6957,5.2985,5.1104,4.4706,5.6233,4.7926,4.909,4.6954,4.207,5.6531
"GENE0096",7.1846,5.832,6.6315,6.2774,7.107,6.7905,6.982,6.3244,6.9136,6.8807,6.604,6.3956
"GENE0097",3.921,4.2172,4.7878,3.898,3.0568,4.2054,4.389,4.6677,2.7779,3.7232,3.7452,4.4978
"GENE0098",8.1093,8.1685,7.4869,9.1145,7.0911,7.3269,9.0283,8.2765,6.9823,9.0508,8.414,8.1032
"GENE0099",7.7424,8.2758,9.5742,8.1576,7.6982,7.8521,5.4636,7.3434,6.3427,6.932,6.072,7.1563
"GENE0100",9.5236,10.132,11.1557,10.4912,10.6168,10.0506,8.9621,10.8251,10.8502,10.9313,9.2903,9.706
"GENE0101",7.4794,7.4801,7.0109,5.736,7.0624,7.0441,7.8988,5.6171,8.2929,5.4178,8.541,7.1883
"GENE0102",5.6105,5.1761,3.8708,4.6244,5.722,6.0465,4.8059,4.6556,4.7729,5.3568,3.452,5.5129
"GENE0103",6.4959,6.3903,6.0055,5.6878,6.319,5.5352,5.2145,5.5594,6.3274,6.5054,5.6504,6.4433
"GENE0104",4.6569,4.9531,5.3767,4.0949,4.8885,4.5696,5.2652,4.7181,5.458,4.5384,5.3352,4.5005
"GENE0105",3.9143,4.5491,4.344,3.8742,4.4086,3.6861,4.2001,2.3787,4.9628,3.998,3.3753,3.1809
"GENE0106",6.0039,7.127,5.5305,6.9986,4.9583,6.7671,7.9548,4.3157,6.3288,6.3074,5.8244,6.2438
"GENE0107",4.4964,2.9757,2.9979,4.5396,4.8593,5.2842,5.2933,4.7673,5.1422,3.5322,3.6742,4.6456
"GENE0108",7.9773,5.6978,5.6803,5.8495,7.4147,7.4417,8.7214,6.4454,5.3398,6.9555,7.8762,6.1622
"GENE0109",6.6263,6.0051,5.8909,6.1774,6.7847,7.2563,7.0899,6.4207,6.578,5.9552,6.9743,6.6594
"GENE0110",4.4217,5.9524,6.2291,6.6196,5.8221,5.6151,5.7993,7.0218,5.3591,6.3329,4.6394,5.2098
"GENE0111",5.8579,5.4756,4.4286,5.745,6.1506,5.3491,4.6129,5.3513,5.4126,4.9538,6.0565,5.3148
"GENE0112",4.9977,5.6593,4.5656,4.8207,4.6941,5.0062,5.2962,4.4968,4.2612,4.2297,4.6361,4.4621
"GENE0113",2.5909,4.1102,3.8509,3.3793,3.627,3.3019,3.7709,4.175,3.8794,3.326,4.0795,3.5975
"GENE0114",7.6621,7.3842,7.7627,8.9246,7.2621,8.4987,8.0693,6.4809,8.6074,8.5452,8.5615,8.0221
"GENE0115",6.2359,6.9933,6.3151,6.2829,5.6952,6.0057,5.6545,6.1976,5.5903,5.9083,5.3662,5.4018
"GENE0116",7.7961,8.7697,7.265,7.6785,9.4898,7.6591,8.6501,7.6172,8.3219,5.6707,7.2229,7.9893
"GENE0117",1.458,1.5781,2.406,1.9038,5.5942,1.9884,1.7522,0.9155,4.2719,3.1468,2.7457,2.739
"GENE0118",6.7051,7.0874,6.8681,7.7438,6.8062,6.5591,6.6726,7.6021,6.1658,7.2794,6.5172,7.4341
"GENE0119",7.3217,8.3324,7.1901,8.174,7.1312,7.9178,7.5665,6.0249,5.9128,7.6606,7.4326,8.5114
"GENE0120",4.8482,6.0334,5.4511,6.1885,5.9413,6.0297,6.6336,6.2452,6.3614,5.1416,6.1969,6.0011
"GENE0121",5.5912,5.3407,3.943,5.0946,7.1668,4.6478,5.8547,5.0768,7.3087,4.5575,4.9061,4.4735
"GENE0122",4.2991,5.1654,4.0141,4.6795,3.3031,5.1153,3.4234,4.9045,4.4686,4.4053,3.8148,4.5925
"GENE0123",9.2385,8.9755,10.5614,8.9766,9.4782,9.1703,10.7473,9.551,10.2178,9.9645,9.75,8.9889
"GENE0124",8.6049,7.9545,7.6864,7.5493,7.2304,8.4185,7.0278,8.3131,7.7361,9.049,8.2916,7.1529
"GENE0125",9.516,10.8381,9.7311,9.6479,9.0467,9.6908,8.6625,9.4586,9.9568,9.1265,8.741,10.1427
"GENE0126",6.7812,5.137,6.166,5.0867,6.5119,5.2373,5.9281,5.8604,6.0109,5.8553,6.4942,5.7253
"GENE0127",4.1745,5.5766,4.6284,4.9164,4.9896,4.8406,5.054,5.5791,5.3847,4.7072,4.4891,5.1439
"GENE0128",2.2674,3.0894,2.6362,3.1728,2.7467,3.0926,2.7763,2.9002,2.4503,3.0885,2.8605,3.5846
"GENE0129",4.3773,4.717,3.3794,5.0419,3.852,5.1647,4.5811,5.7154,4.5312,4.5487,4.3571,4.4088
"GENE0130",6.4965,6.4217,6.5734,6.4204,6.0377,6.8933,7.4328,6.1503,6.4629,6.4815,6.5047,5.9926
"GENE0131",7.857,7.4437,7.676,9.3831,7.2375,7.8108,7.7342,8.1885,7.7876,8.6441,8.7001,8.5905
"GENE0132",5.1153,8.3358,6.8741,6.1246,6.3716,8.7663,5.5138,8.443,6.2801,6.8958,7.31,6.6939
"GENE0133",2.7005,3.2406,3.9672,5.4274,3.8705,3.9713,2.6258,2.4904,2.9681,2.1212,4.6079,3.995
"GENE0134",7.656,6.4355,7.5537,5.8525,6.7852,5.4871,6.8477,5.5765,7.5016,6.0408,8.8512,5.7457
"GENE0135",2.3531,4.0807,2.9553,3.4573,2.8282,3.4963,3.6404,2.8482,3.2588,2.7263,2.4693,4.1299
"GENE0136",4.9173,4.7206,4.5355,4.7168,5.2865,6.1177,3.7813,4.9142,5.67,4.7244,5.0936,4.8918
"GENE0137",4.2498,5.522,5.1643,5.4419,4.6228,5.2823,4.9701,5.3179,5.8675,5.2851,4.6312,5.0681
"GENE0138",1.8976,2.118,2.3285,2.828,1.5264,1.4699,3.0771,3.2914,3.0659,1.815,2.6813,2.7799
"GENE0139",7.2187,8.1125,7.9665,7.632,8.1656,8.0855,10.9943,9.9695,9.4343,9.7695,10.4462,9.7522
"GENE0140",5.2064,5.494,3.9065,5.3254,4.4038,4.7991,4.4618,5.5426,4.5589,4.4159,5.3103,5.1489
"GENE0141",4.8151,5.2068,4.929,4.8868,7.1533,5.5518,5.7823,5.3713,6.1794,5.9951,4.8725,5.5631
"GENE0142",8.8786,8.8836,7.9441,10.3117,7.6036,9.1688,9.2993,9.0251,9.0297,9.3252,9.1301,9.5341
"GENE0143",7.6521,5.9001,6.6939,6.741,6.3995,6.627,7.7391,6.8865,6.3837,6.5002,7.1817,6.5287
"GENE0144",5.6547,6.9534,5.5999,6.3118,5.7641,5.1737,4.1122,3.7,5.2477,4.5771,4.6095,3.4605
"GENE0145",6.3908,6.3793,6.4235,7.7844,6.5719,5.1989,6.2618,5.7803,7.5387,8.9321,8.6646,5.4902
"GENE0146",7.7313,6.6655,8.2154,8.3395,8.1749,6.8418,6.7539,6.0759,7.4127,7.2163,7.7602,7.6382
"GENE0147",9.2148,9.9321,8.9324,9.486,10.1214,8.7589,9.3224,9.7372,9.4195,10.7823,9.9389,9.9771
"GENE0148",6.2595,7.4597,5.5584,5.8161,7.0991,4.6657,6.8948,6.0677,7.4148,7.4433,6.4941,6.8656
"GENE0149",6.0813,7.0015,6.637,8.0768,8.2836,6.7862,7.5544,7.7362,6.0678,5.886,8.5265,7.773
"GENE0150",6.2797,5.6665,7.1453,6.2054,5.7427,6.0485,5.9832,4.8434,6.7299,6.6487,6.4487,5.737
"GENE0151",6.3777,4.9706,5.2884,4.2997,6.5042,3.551,5.2081,5.9317,4.9445,4.7269,6.1336,5.3356
"GENE0152",5.4907,6.6624,7.7076,5.506,5.0886,7.7032,7.3648,7.244,8.1806,7.1865,8.0458,8.5246
"GENE0153",9.2694,9.1077,9.0421,9.4132,9.6431,9.5131,7.6172,7.1524,8.6492,7.8021,8.2698,7.5539
"GENE0154",4.8207,4.3303,5.0343,2.0223,5.2976,4.7464,3.1098,5.1643,4.2882,4.8599,5.0887,3.154
"GENE0155",6.5367,6.9839,6.0743,5.9637,6.6424,6.9201,7.2376,8.431,7.5631,8.5818,8.126,8.5446
"GENE0156",8.7641,8.8682,8.8935,8.236,8.8173,7.9353,9.8685,8.8108,9.0102,8.9856,9.3316,8.7371
"GENE0157",6.0706,6.4837,5.8403,5.6926,5.508,6.2776,6.3446,5.9964,5.5805,5.4443,5.0858,6.1708
"GENE0158",3.3132,4.1455,4.4022,4.0191,3.617,3.4073,4.3131,2.5057,3.7358,3.318,3.8425,4.1837
"GENE0159",4.5258,4.276,5.4686,4.8247,4.0339,2.9885,5.0783,3.6927,5.6412,3.429,3.2696,3.9618
"GENE0160",4.7493,4.5655,4.7121,5.0235,6.0833,5.5834,4.6319,5.242,5.2779,5.939,5.4207,4.5092
"GENE0161",3.7059,4.7864,4.1776,4.2781,4.4873,3.476,4.1363,4.0774,4.0731,4.0459,3.9779,4.9747
"GENE0162",5.8434,5.1651,5.9145,4.983,5.0507,4.993,5.7987,5.6287,5.7216,5.6083,6.3996,4.9139
"GENE0163",5.5463,5.7737,4.9879,5.7031,4.9041,4.8803,5.6023,6.5566,6.5146,6.4621,4.9667,5.5281
"GENE0164",6.0031,4.4848,6.9116,6.7456,7.9178,4.5081,5.5414,6.5395,5.3337,4.9388,5.6617,5.1396
"GENE0165",6.6538,7.0429,6.78,8.1259,6.8102,6.7169,7.4836,6.7192,6.1592,8.4769,6.8579,6.1749
"GENE0166",8.014,7.7174,6.5026,7.7471,7.526,7.8779,7.3823,8.6941,6.5702,7.3435,7.4936,7.6106
"GENE0167",9.248,9.8362,10.6725,9.4428,9.6344,9.6692,9.1272,9.048,9.8659,10.3722,11.0533,10.4585
"GENE0168",6.0106,4.6763,5.6545,5.1624,5.814,5.2926,5.9904,4.9746,6.6793,6.0528,6.5651,5.3589
"GENE0169",5.6,5.5185,5.9013,4.926,6.2633,4.2057,5.2317,5.0266,5.5979,5.6742,5.1161,4.8667
"GENE0170",8.471,11.7793,10.2562,7.7792,10.8736,8.9483,8.192,7.8372,10.6344,9.3051,10.4167,7.3363
"GENE0171",10.5656,7.9108,11.068,10.345,9.8326,9.8137,9.3044,10.8168,10.0588,9.7731,9.3906,10.1306
"GENE0172",5.645,7.9729,6.494,4.942,7.3693,7.2613,7.3533,7.4636,5.7133,6.0443,5.194,4.9732
"GENE0173",5.5831,5.6005,5.4534,5.2326,5.7422,4.8727,5.3984,4.6867,5.7374,4.3177,6.4883,4.5029
"GENE0174",2.984,4.4047,2.7086,3.4498,2.0067,1.5886,1.3398,1.2344,3.0653,2.9937,2.7199,2.2894
"GENE0175",8.9702,9.2182,8.3973,9.2731,9.2052,8.803,8.5353,9.5695,9.9221,10.0644,7.8933,7.8648
"GENE0176",3.0736,4.339,5.4498,5.2733,3.6052,2.856,5.2996,5.0228,4.612,2.4891,4.2417,3.7468
"GENE0177",4.1747,2.9067,4.8202,4.1721,3.3774,3.3267,3.8453,4.4757,3.6215,4.0453,3.5709,4.0176
"GENE0178",10.7954,12.4321,12.3507,11.7098,12.5593,12.1978,12.4766,12.3279,12.0599,12.0946,11.9772,12.4927
"GENE0179",6.4664,5.0792,6.8798,5.3629,7.0822,6.7395,4.5129,7.091,6.6983,7.4918,6.4394,9.0031
"GENE0180",6.0673,5.4293,7.0299,6.7344,5.882,6.8384,5.1338,4.9859,4.8463,4.8967,6.1205,5.0107
"GENE0181",-0.1826,0.6348,0.5246,1.1722,1.1241,0.2854,0.1351,-0.291,-0.091,0.0832,-0.5087,0.3113
"GENE0182",5.8431,6.5232,5.7122,5.6223,7.5499,6.3638,5.3427,5.0939,5.9058,5.6757,4.8044,5.9345
"GENE0183",7.8991,7.8499,7.7679,9.7645,8.6148,8.1586,7.9822,7.9766,8.0368,7.1775,7.7217,8.5804
"GENE0184",6.8908,6.7411,4.8608,6.662,5.3996,7.0433,8.9726,7.2349,8.2012,9.532,7.6444,7.8373
"GENE0185",7.0389,7.5575,7.1131,7.0302,7.8553,7.1286,6.7113,10.5572,8.7672,10.4532,7.3373,8.948
"GENE0186",9.2778,10.4705,9.5223,11.2175,11.097,10.7058,10.6977,9.9219,8.564,10.0865,10.2401,10.2841
"GENE0187",7.6207,5.8098,6.7393,7.865,8.2853,7.4711,8.3753,8.3678,7.9795,7.3104,8.4715,5.8896
"GENE0188",4.1909,5.982,4.6366,5.9871,3.641,6.2196,4.3991,6.0119,4.4526,5.1752,3.6344,6.5344
"GENE0189",6.957,7.073,7.1242,6.99,7.1963,6.6928,7.0186,8.0497,8.1033,7.5307,7.5104,7.2534
"GENE0190",4.6332,6.0375,6.7188,6.1166,5.4134,5.2939,6.2317,6.8463,7.2394,7.1796,5.7953,8.4522
"GENE0191",4.2448,4.4498,5.1039,3.8866,5.2772,6.3261,5.2255,5.5906,4.1973,3.9591,6.0825,4.9918
"GENE0192",0.1703,-0.9295,0.5467,0.4603,1.0307,-0.437,1.1094,0.0745,0.1694,-0.4975,0.8428,-0.2432
"GENE0193",4.1643,4.5795,3.9145,4.6952,4.3591,4.5586,5.1216,4.4756,4.4749,4.5579,4.5869,4.0436
"GENE0194",6.9592,8.7481,6.8892,6.5621,7.9042,7.2862,7.3055,6.0754,7.3614,6.9345,5.6357,8.0209
"GENE0195",10.3874,9.6643,10.3648,9.1782,8.7896,9.0917,9.3316,9.1784,11.1039,9.5443,9.6515,9.2862
"GENE0196",6.4219,7.117,6.9967,5.7514,6.708,6.7418,6.8778,7.5328,7.061,6.8489,7.1065,6.8343
"GENE0197",7.8959,8.5405,7.0689,7.5996,8.1064,7.5681,6.0329,5.3213,7.6155,8.4064,7.6877,6.6646
"GENE0198",3.8056,3.9122,3.5389,4.2383,3.3067,3.3527,4.2975,4.1936,5.0521,4.906,4.4969,3.5841
"GENE0199",6.736,6.9544,6.4647,6.5057,6.1656,6.4267,6.316,6.5401,6.2574,6.7259,6.5389,6.7547
"GENE0200",0.1968,2.9595,2.6449,0.8343,1.1556,2.4131,1.63,1.3772,-0.1089,1.2843,0.697,2.4338
"GENE0201",7.1181,6.4155,6.4588,5.2943,6.6214,5.3927,6.5554,7.057,7.0382,8.055,7.784,5.7279
"GENE0202",8.0394,7.0558,8.4957,7.9332,7.4779,5.9022,7.1474,6.8222,6.8927,7.8647,7.3206,7.6551
"GENE0203",6.2404,5.1313,6.5302,5.6479,6.3807,5.6163,6.2899,5.5558,5.8207,4.9322,7.1703,6.7261
"GENE0204",6.7592,7.7177,7.9928,8.7977,7.7495,7.3799,7.2305,7.8578,7.7195,8.2546,8.7746,8.2139
"GENE0205",7.2057,8.3014,6.5996,7.7765,6.6824,5.7266,7.8431,7.0332,6.7748,7.4505,6.2624,6.6369
"GENE0206",7.4685,6.6512,7.1395,10.7246,7.429,8.5288,8.0335,8.7545,7.0256,8.9348,8.5424,6.5042
"GENE0207",9.5455,9.8631,9.7773,9.966,9.4801,9.7283,10.1152,9.4361,9.352,8.6071,10.0814,10.2671
"GENE0208",9.6859,8.2045,9.0755,9.4481,7.8425,8.3797,7.7573,7.9966,9.2092,8.6213,7.7146,8.0655
"GENE0209",5.1005,5.2694,6.9455,6.3475,6.8378,5.822,7.5448,7.2881,8.2249,8.0339,7.9202,7.8615
"GENE0210",3.5883,3.0818,3.9707,3.4538,3.2146,3.1194,3.9923,3.8697,4.1909,3.4098,3.9108,2.7152
"GENE0211",6.4843,6.2897,7.8095,6.9992,4.892,7.3448,7.6806,6.3639,6.17,6.2028,6.9455,5.7189
