"gene","logFC","AveExpr","pvalue","padj"
"ENSG00000007516",0.3658,7.1291,0.5645,0.7757
"ENSG00000007520",0.1043,9.3339,0.408,0.6539
"ENSG00000007541",0.1627,9.7183,0.208,0.4375
"ENSG00000007545",0.0934,8.6248,0.5277,0.7481
"ENSG00000007866",0.5956,10.8003,4.419e-12,1.285e-10
"ENSG00000007923",0.0324,9.6637,0.7522,0.8914
"ENSG00000007933",0.2455,9.6852,0.03047,0.1102
"ENSG00000007944",-0.4976,9.0395,5.766e-05,0.0005384
"ENSG00000007952",0.6367,7.1652,0.2754,0.5211
"ENSG00000008018",0.0434,10.7513,0.6064,0.8054
"ENSG00000008056",0.7041,7.3154,0.133,0.3259
"ENSG00000008083",0.4416,8.9293,0.00245,0.01432
"ENSG00000008086",-0.2408,8.0894,0.303,0.552
"ENSG00000008118",-0.3719,7.0587,0.6473,0.8309
"ENSG00000008128",-0.2072,7.3772,0.5971,0.7974
"ENSG00000008130",0.7762,10.8193,5.096e-10,1.165e-08
"ENSG00000008226",-0.2702,7.0615,0.74,0.8846
"ENSG00000008256",1.1834,11.8083,3.523e-30,4.812e-28
"ENSG00000008277",-0.2815,7.3216,0.5154,0.7391
"ENSG00000008282",0.2799,11.0742,0.008835,0.04159
"ENSG00000008283",0.0077,9.4857,0.9451,0.9765
"ENSG00000008294",-0.0311,11.6001,0.6952,0.86
"ENSG00000008300",0.2639,7.9917,0.22,0.453
"ENSG00000008311",1.0957,9.775,3.409e-24,3.252e-22
"ENSG00000008323",0.5029,7.1107,0.4482,0.6879
"ENSG00000008324",0.5385,8.1977,0.01164,0.0518
"ENSG00000008382",0.0632,7.9635,0.7669,0.8978
"ENSG00000008394",0.1055,11.8118,0.2592,0.5036
"ENSG00000008405",0.0889,8.8282,0.5794,0.7868
"ENSG00000008441",-0.3264,13.4107,3.287e-06,4.074e-05
"ENSG00000008513",-0.5951,10.7498,9.711e-10,2.159e-08
"ENSG00000008517",-0.7491,8.4472,9.189e-05,0.0008182
"ENSG00000008710",0.4804,12.4254,0.0002131,0.001728
"ENSG00000008735",0.3772,7.306,0.4248,0.6686
"ENSG00000008838",-0.0257,10.4033,0.7879,0.9088
"ENSG00000008853",0.5477,9.5378,4.562e-06,5.489e-05
"ENSG00000008869",0.0421,9.8263,0.6673,0.8426
"ENSG00000008952",0.1732,12.3644,0.03287,0.1168
"ENSG00000008988",-0.0375,13.4197,0.6115,0.8088
"ENSG00000009307",0.0092,13.9616,0.9066,0.9615
"ENSG00000009335",0.2077,11.1697,0.01022,0.0468
"ENSG00000009413",1.0956,12.8146,4.896e-18,2.675e-16
"ENSG00000009724",-0.3993,7.5925,0.1805,0.4009
"ENSG00000009780",0.5664,8.4564,0.00156,0.009734
"ENSG00000009790",-0.2198,7.211,0.6738,0.8469
"ENSG00000009830",0.0853,9.2595,0.4811,0.7141
"ENSG00000009844",-0.0556,10.0284,0.5744,0.7833
"ENSG00000009954",-0.0406,11.6195,0.6575,0.8374
"ENSG00000010017",0.7209,10.963,7.702e-09,1.506e-07
"ENSG00000010030",-0.847,7.2566,0.07986,0.2259
"ENSG00000010072",-0.0635,8.4538,0.6893,0.8562
"ENSG00000010165",-0.0286,10.1116,0.7835,0.9065
"ENSG00000010219",-0.2399,8.5234,0.1117,0.288
"ENSG00000010244",0.1205,11.1194,0.1309,0.3224
"ENSG00000010256",0.4722,10.9489,4.518e-07,6.554e-06
"ENSG00000010270",0.0492,9.9175,0.6424,0.8282
"ENSG00000010278",0.5697,11.9498,3.959e-09,8.112e-08
"ENSG00000010292",0.0293,10.4435,0.7828,0.9063
"ENSG00000010295",-0.0736,10.43,0.455,0.6929
"ENSG00000010310",-1.127,7.2449,0.02402,0.09183
"ENSG00000010318",-0.0349,7.8965,0.8877,0.9541
"ENSG00000010322",-0.2644,11.4288,0.001235,0.007971
"ENSG00000010361",0.1552,8.5013,0.3345,0.5837
"ENSG00000010404",0.1908,11.0569,0.0369,0.1274
"ENSG00000010438",0.0902,7.2347,0.8647,0.9441
"ENSG00000010539",-0.1266,8.2068,0.4942,0.7245
"ENSG00000010610",-0.2561,7.7216,0.3313,0.5799
"ENSG00000010626",-0.2399,8.3199,0.1647,0.3778
"ENSG00000010704",-0.1576,9.341,0.2435,0.4835
"ENSG00000010803",-0.0047,9.9123,0.9631,0.9857
"ENSG00000010810",0.0576,10.8688,0.5277,0.7481
"ENSG00000010818",-0.3557,10.647,0.0001362,0.001161
"ENSG00000010932",0.9547,7.4215,0.06348,0.1917
"ENSG00000011007",0.1808,10.3447,0.05639,0.1756
"ENSG00000011009",0.2149,9.3623,0.0583,0.1803
"ENSG00000011021",0.0912,9.6725,0.4172,0.6617
"ENSG00000011028",-0.2204,14.0317,0.005461,0.02809
"ENSG00000011105",0.2892,11.8544,0.0011,0.007247
"ENSG00000011114",0.0619,10.4419,0.5116,0.7363
"ENSG00000011132",0.1004,8.5431,0.5225,0.744
"ENSG00000011143",-0.3043,8.3188,0.06987,0.2054
"ENSG00000011198",1.1251,10.3245,2.134e-10,5.084e-09
"ENSG00000011243",-0.1847,9.7383,0.1096,0.2843
"ENSG00000011258",-0.3046,9.126,0.02069,0.08157
"ENSG00000011260",0.2499,9.2275,0.04073,0.1376
"ENSG00000011275",0.0113,10.9094,0.89,0.9546
"ENSG00000011295",0.1293,9.2277,0.3159,0.5648
"ENSG00000011304",0.3511,11.8772,8.779e-06,9.95e-05
"ENSG00000011332",0.1917,7.1906,0.7317,0.88
"ENSG00000011347",-0.9138,8.3189,3.781e-06,4.616e-05
"ENSG00000011376",0.0338,9.2709,0.774,0.9019
"ENSG00000011405",0.3562,10.7245,2.911e-05,0.000292
"ENSG00000011422",0.0502,9.1782,0.739,0.8842
"ENSG00000011426",-0.0157,8.6809,0.9104,0.9631
"ENSG00000011451",0.0747,10.7527,0.4399,0.6815
"ENSG00000011454",0.4274,11.2785,0.0001478,0.001248
"ENSG00000011465",-0.0962,18.1376,0.2007,0.4285
"ENSG00000011478",0.686,8.3027,7.873e-05,0.0007131
"ENSG00000011485",0.5486,10.1711,2.271e-07,3.506e-06
"ENSG00000011523",0.1588,9.9959,0.1902,0.4142
"ENSG00000011566",0.8082,10.5892,2.984e-15,1.247e-13
"ENSG00000011638",0.1103,10.083,0.3655,0.6127
"ENSG00000012048",-1.2103,8.6153,8.756e-13,2.795e-11
"ENSG00000012061",0.0126,10.0121,0.9197,0.967
"ENSG00000012171",-0.7334,10.4738,6.081e-12,1.713e-10
"ENSG00000012174",0.1154,9.8493,0.2722,0.5174
"ENSG00000012211",0.1673,8.2118,0.3633,0.6103
"ENSG00000012232",0.0912,10.5105,0.3211,0.5692
"ENSG00000012660",0.4034,11.316,0.0006542,0.004628
"ENSG00000012817",-0.121,9.4462,0.3401,0.5884
"ENSG00000012822",0.4113,12.5896,0.0001562,0.001309
"ENSG00000012963",-0.127,9.5146,0.2956,0.5439
"ENSG00000012983",-0.0998,11.0241,0.2203,0.4532
"ENSG00000013016",0.4601,11.0118,0.002474,0.01444
"ENSG00000013275",0.1366,10.1487,0.1468,0.35
"ENSG00000013288",0.0757,11.7007,0.4448,0.6849
"ENSG00000013293",-2.8828,8.5098,5.852e-40,1.199e-37
"ENSG00000013297",-1.7743,11.5814,1.481e-24,1.451e-22
"ENSG00000013306",-0.0172,10.1971,0.8622,0.9428
"ENSG00000013364",0.1389,12.9517,0.06573,0.1965
"ENSG00000013374",0.1707,10.5,0.08505,0.2365
"ENSG00000013375",-0.2871,10.2186,0.008793,0.04144
"ENSG00000013392",-0.2755,8.7662,0.05328,0.1684
"ENSG00000013441",0.2628,11.4779,0.05406,0.17
"ENSG00000013503",0.0979,8.7849,0.4723,0.7065
"ENSG00000013523",-0.3094,9.0637,0.01809,0.07338
"ENSG00000013561",0.3149,10.0814,0.004245,0.02274
"ENSG00000013563",-0.0085,8.4547,0.959,0.9842
"ENSG00000013573",-0.5059,8.618,0.001158,0.007563
"ENSG00000013583",0.3888,10.6215,0.001241,0.00801
"ENSG00000013588",-0.1508,9.5788,0.3561,0.6031
"ENSG00000013619",0.3597,10.3348,0.002716,0.01562
"ENSG00000013810",0.1462,7.8701,0.5481,0.7645
"ENSG00000014123",-0.1086,10.0784,0.3208,0.5689
"ENSG00000014138",-0.2081,8.401,0.1976,0.4247
"ENSG00000014164",0.0199,9.3168,0.8724,0.9463
"ENSG00000014216",0.2683,11.8307,0.001867,0.01135
"ENSG00000014257",-0.657,7.2696,0.241,0.4805
"ENSG00000014641",-0.0715,10.7261,0.4004,0.6465
"ENSG00000014824",0.1307,10.5581,0.1711,0.3872
"ENSG00000014914",-0.4472,9.5577,0.0002215,0.001786
"ENSG00000014919",-0.0846,9.6935,0.4116,0.6575
"ENSG00000015133",0.403,7.0528,0.6316,0.8214
"ENSG00000015153",0.3997,8.6889,0.02085,0.08207
"ENSG00000015171",-0.0304,11.2122,0.7078,0.8667
"ENSG00000015285",-1.4151,7.0245,0.1147,0.2936
"ENSG00000015475",0.0043,8.9973,0.9727,0.9891
"ENSG00000015479",-0.1468,12.784,0.06455,0.194
"ENSG00000015520",-2.82,7.2385,3.657e-06,4.495e-05
"ENSG00000015532",0.046,9.7642,0.664,0.8413
"ENSG00000015568",-0.2084,10.4329,0.02733,0.1014
"ENSG00000015676",0.0286,10.8179,0.7548,0.8924
"ENSG00000016391",-2.0074,7.9226,1.945e-14,7.417e-13
"ENSG00000016402",-1.1323,7.1505,0.0721,0.21
"ENSG00000016864",0.082,10.7802,0.3653,0.6126
"ENSG00000017260",-0.1499,11.5275,0.1074,0.2799
"ENSG00000017427",-0.4792,9.9104,0.004241,0.02273
"ENSG00000017483",-1.0055,9.2599,3.963e-07,5.838e-06
"ENSG00000017621",-0.2413,7.3208,0.5804,0.7874
"ENSG00000017797",0.5652,11.7674,1.208e-09,2.65e-08
"ENSG00000018189",-0.3082,10.2161,0.002453,0.01433
"ENSG00000018236",0.4017,7.6608,0.1718,0.3883
"ENSG00000018280",0.0118,7.0526,0.9882,0.9952
"ENSG00000018408",0.1149,11.4495,0.1862,0.4083
"ENSG00000018510",0.1432,9.9549,0.1635,0.3759
"ENSG00000018610",-0.1068,8.8578,0.4161,0.661
"ENSG00000018625",-0.9158,9.3281,2.681e-14,1.007e-12
"ENSG00000018699",0.0078,8.8363,0.9577,0.9841
"ENSG00000018869",-0.0833,7.7763,0.7539,0.8918
"ENSG00000019102",0.3668,7.0478,0.6566,0.8365
"ENSG00000019144",0.3541,11.6236,0.001678,0.01036
"ENSG00000019186",-4.3247,7.1126,3.945e-07,5.816e-06
"ENSG00000019485",0.4033,8.505,0.02897,0.106
"ENSG00000019549",0.0546,11.5872,0.8558,0.9405
"ENSG00000019582",-0.6415,7.604,0.0295,0.1074
"ENSG00000019991",-0.9746,10.371,9.888e-13,3.123e-11
"ENSG00000019995",0.9276,11.0956,4.231e-19,2.631e-17
"ENSG00000020129",-0.5029,10.2539,3.461e-07,5.141e-06
"ENSG00000020181",-0.334,12.9587,0.00422,0.02263
"ENSG00000020256",-0.2976,8.959,0.05891,0.1815
"ENSG00000020426",0.0662,8.4808,0.6915,0.8574
"ENSG00000020577",1.2033,11.5788,2.289e-38,4.487e-36
"ENSG00000020633",0.4149,7.9124,0.07971,0.2255
"ENSG00000020922",0.055,9.0685,0.6531,0.8345
"ENSG00000021300",-0.4201,7.2594,0.4028,0.649
"ENSG00000021355",0.5966,9.6616,6.211e-08,1.054e-06
"ENSG00000021574",0.0756,9.4353,0.5285,0.7487
"ENSG00000021645",1.9103,7.4808,6.826e-06,7.941e-05
"ENSG00000021762",0.4075,10.5943,4.978e-05,0.0004722
"ENSG00000021776",0.2228,10.4083,0.02277,0.08806
"ENSG00000021826",-0.3045,8.9913,0.01503,0.06323
"ENSG00000022267",0.5112,13.3348,1.162e-09,2.555e-08
"ENSG00000022277",0.0988,10.6943,0.3356,0.5846
"ENSG00000022567",0.2649,8.3515,0.1113,0.2873
"ENSG00000022840",0.2768,11.4824,0.0005557,0.004015
"ENSG00000022976",-0.1904,8.4871,0.2653,0.5098
"ENSG00000023041",0.1919,9.7705,0.05923,0.1823
"ENSG00000023171",-0.7136,7.9244,0.003605,0.01978
"ENSG00000023191",0.1538,12.277,0.1187,0.3002
"ENSG00000023228",0.1244,10.8201,0.1801,0.4003
"ENSG00000023287",0.124,11.5498,0.2875,0.536
"ENSG00000023318",0.2267,10.6471,0.01183,0.05247
"ENSG00000023330",-0.2686,10.1704,0.00522,0.0271
"ENSG00000023445",0.4881,7.7382,0.1115,0.2877
"ENSG00000023516",-0.0538,11.0213,0.5263,0.7472
"ENSG00000023572",0.2577,8.0194,0.2513,0.4938
"ENSG00000023608",0.7252,8.6822,3.72e-07,5.503e-06
"ENSG00000023697",0.3185,9.3971,0.003425,0.01891
"ENSG00000023734",0.2805,11.1131,0.003344,0.01853
"ENSG00000023839",0.3111,7.2631,0.5294,0.7494
"ENSG00000023892",-0.3054,7.0483,0.7062,0.8656
"ENSG00000023902",0.4093,9.8049,5.557e-05,0.0005203
"ENSG00000023909",1.2221,10.9356,2.261e-25,2.398e-23
"ENSG00000024048",0.1292,10.5864,0.1777,0.3967
"ENSG00000024422",0.1743,13.5359,0.02399,0.09171
"ENSG00000024526",-0.3149,7.2862,0.4893,0.7208
"ENSG00000024862",0.167,8.6747,0.3443,0.5923
"ENSG00000025039",0.5955,7.0885,0.4198,0.6642
"ENSG00000025156",-0.2382,8.7709,0.1034,0.2723
"ENSG00000025293",-0.1154,10.7134,0.2174,0.4496
"ENSG00000025423",-1.993,8.2615,1.677e-16,7.854e-15
"ENSG00000025434",0.1555,9.2003,0.2898,0.5382
"ENSG00000025708",1.2312,8.2713,5.27e-10,1.2e-08
"ENSG00000025770",-0.0915,9.0258,0.4834,0.7158
"ENSG00000025772",-0.4891,9.8792,2.855e-05,0.0002873
"ENSG00000025796",-0.0552,11.7776,0.4741,0.7084
"ENSG00000025800",0.1485,11.0125,0.08685,0.2396
"ENSG00000026025",-0.4006,14.8351,0.002723,0.01564
"ENSG00000026036",-0.3374,7.6214,0.3627,0.6097
"ENSG00000026103",-0.0516,10.3401,0.6197,0.8136
"ENSG00000026297",-0.4374,8.05,0.03458,0.1215
"ENSG00000026508",-0.183,14.3095,0.0755,0.2169
"ENSG00000026559",-0.7635,7.2611,0.1395,0.3374
"ENSG00000026652",-0.1566,9.0515,0.2203,0.4532
"ENSG00000026950",-0.8897,9.8209,4.161e-17,2.056e-15
"ENSG00000027001",-0.3424,9.4868,0.008092,0.03879
"ENSG00000027075",1.069,7.8883,5.763e-05,0.0005384
"ENSG00000027697",0.3958,10.6672,0.003046,0.0172
"ENSG00000027847",-0.1349,9.3024,0.3462,0.5941
"ENSG00000028116",0.1992,8.5454,0.1944,0.4198
"ENSG00000028137",0.8489,9.4387,2.349e-06,2.979e-05
"ENSG00000028203",0.0015,10.4285,0.9869,0.9944
"ENSG00000028277",-2.0901,7.4753,1.85e-08,3.445e-07
"ENSG00000028310",0.0185,9.5774,0.8727,0.9463
"ENSG00000028528",-0.0735,11.8518,0.3347,0.5838
"ENSG00000028839",-0.3351,9.2554,0.01145,0.0512
"ENSG00000029153",-0.039,8.7728,0.7814,0.9055
"ENSG00000029363",-0.048,11.7454,0.5544,0.7688
"ENSG00000029364",-0.122,10.6383,0.2148,0.4466
"ENSG00000029534",-0.2378,7.9784,0.3359,0.5848
"ENSG00000029639",-0.0052,8.13,0.9813,0.9921
"ENSG00000029725",0.0039,10.8265,0.965,0.9863
"ENSG00000029993",-0.3735,9.6021,0.00043,0.003195
"ENSG00000030066",0.0443,10.1292,0.6655,0.8419
"ENSG00000030110",0.1254,8.4928,0.4279,0.6711
"ENSG00000030304",0.0385,7.4663,0.9256,0.9691
"ENSG00000030419",0.3178,8.6735,0.1332,0.326
"ENSG00000030582",-0.1874,13.452,0.01076,0.04871
"ENSG00000031003",0.0382,10.3754,0.7157,0.8714
"ENSG00000031081",-0.7026,8.9927,8.391e-08,1.383e-06
"ENSG00000031691",0.097,7.9659,0.6506,0.8327
"ENSG00000031698",-0.5365,11.5543,5.958e-09,1.187e-07
"ENSG00000031823",-0.3935,10.7447,0.001109,0.007294
"ENSG00000032219",0.0019,9.7329,0.9876,0.9948
"ENSG00000032389",0.0495,8.6063,0.8041,0.9161
"ENSG00000032444",0.1911,10.5011,0.05044,0.1616
"ENSG00000032742",-0.6423,8.6525,9.994e-06,0.0001122
"ENSG00000033011",0.0453,8.9522,0.7306,0.8793
"ENSG00000033030",0.1094,9.1572,0.4025,0.6487
"ENSG00000033050",0.3451,10.5098,0.0002826,0.002217
"ENSG00000033100",0.0493,11.2357,0.6171,0.8117
"ENSG00000033122",-0.4293,7.0781,0.5559,0.7696
"ENSG00000033170",-0.2745,10.7368,0.04702,0.1535
"ENSG00000033178",-0.2406,10.077,0.02958,0.1076
"ENSG00000033327",0.369,10.5335,0.001422,0.009021
"ENSG00000033627",0.43,9.9325,0.002114,0.01265
"ENSG00000033800",-0.0383,9.682,0.7027,0.8633
"ENSG00000033867",-0.9265,11.2292,2.13e-21,1.623e-19
"ENSG00000034053",0.0055,8.0302,0.9798,0.9915
"ENSG00000034063",-0.6321,7.964,0.03763,0.1295
"ENSG00000034152",0.892,10.3344,2.394e-07,3.674e-06
"ENSG00000034239",-0.364,7.079,0.6238,0.8164
"ENSG00000034510",-0.1222,13.5744,0.1948,0.4202
"ENSG00000034533",-0.6754,8.1021,0.001097,0.007236
"ENSG00000034677",0.1955,9.8891,0.06856,0.2026
"ENSG00000034693",-0.4068,8.8198,0.002172,0.01295
"ENSG00000034713",0.3693,10.638,9.161e-05,0.0008162
"ENSG00000034971",-0.0016,9.1197,0.9917,0.9965
"ENSG00000035115",-0.4612,9.3544,0.0001303,0.001118
"ENSG00000035141",0.1886,9.0826,0.1337,0.3269
"ENSG00000035403",0.8564,13.9693,9.19e-17,4.467e-15
"ENSG00000035499",-0.8878,7.2013,0.1058,0.277
"ENSG00000035664",1.6837,9.4923,1.478e-25,1.586e-23
"ENSG00000035681",-0.3366,10.2693,0.0007494,0.005223
"ENSG00000035687",-0.1663,9.882,0.2176,0.4498
"ENSG00000035862",0.1397,15.3493,0.1296,0.32
"ENSG00000035928",-0.1458,10.2623,0.1366,0.3323
"ENSG00000036054",0.1854,10.4928,0.0555,0.1733
"ENSG00000036257",0.0126,10.9012,0.8898,0.9545
"ENSG00000036448",-0.3656,7.4038,0.3668,0.6139
"ENSG00000036530",-0.4705,7.3845,0.2342,0.471
"ENSG00000036549",-0.0209,10.0206,0.8376,0.9326
"ENSG00000036672",0.6807,7.1917,0.2394,0.4786
"ENSG00000037042",-0.1334,9.4569,0.2135,0.4446
"ENSG00000037241",0.3185,8.9163,0.01483,0.06255
