"pert_id","drug","dose","time","cell_line","moa"
"PERT0071","am580",10,"24H","MCF7","unknown"
"PERT0072","ambroxol hydrochloride",10,"6H","MCF7","unknown"
"PERT0073","amethopterin (r,s)",10,"24H","MCF7","unknown"
"PERT0074","amg 9810",10,"6H","MCF7","unknown"
"PERT0075","aminocaproic acid",10,"6H","MCF7","unknown"
"PERT0076","aminogenistein",10,"24H","MCF7","unknown"
"PERT0077","aminopurine, 6-benzyl",10,"6H","MCF7","unknown"
"PERT0078","aminopurvalanol a",10,"24H","MCF7","unknown"
"PERT0079","amitriptyline hydrochloride",10,"24H","MCF7","unknown"
"PERT0080","amlodipine besylate",10,"6H","MCF7","unknown"
"PERT0081","amodiaquin dihydrochloride dihydrate",10,"6H","MCF7","unknown"
"PERT0082","amoxapine",10,"24H","MCF7","unknown"
"PERT0083","amoxicillin crystalline",10,"6H","MCF7","unknown"
"PERT0084","amperozide",10,"6H","MCF7","unknown"
"PERT0085","amsacrine",10,"6H","MCF7","unknown"
"PERT0086","amuvatinib",10,"24H","MCF7","unknown"
"PERT0087","anafranil",10,"24H","MCF7","unknown"
"PERT0088","androsta-1,4-dien-3,17-dione",10,"6H","MCF7","unknown"
"PERT0089","angiogenesis inhibitor",10,"24H","MCF7","unknown"
"PERT0090","anisomycin",10,"24H","MCF7","unknown"
"PERT0091","antimycin a",10,"24H","MCF7","unknown"
"PERT0092","api-2",10,"24H","MCF7","unknown"
"PERT0093","apigenin triacetate",10,"24H","MCF7","unknown"
"PERT0094","arachidonyl trifluoro-methyl ketone",80,"24H","MCF7","unknown"
"PERT0095","arcyriaflavin a",10,"24H","MCF7","unknown"
"PERT0096","aripiprazole",10,"24H","MCF7","unknown"
"PERT0097","arp 101",10,"24H","MCF7","unknown"
"PERT0098","artesunate",10,"24H","MCF7","unknown"
"PERT0099","AS-601245",0.37,"24H","MCF7","unknown"
"PERT0100","AS-605240",10,"24H","MCF7","unknown"
"PERT0101","as605240",10,"24H","MCF7","unknown"
"PERT0102","AST1306",0.12,"24H","MCF7","unknown"
"PERT0103","AT-7519",0.12,"24H","MCF7","unknown"
"PERT0104","AT7867",0.37,"24H","MCF7","unknown"
"PERT0105","atorvastatin",10,"24H","MCF7","unknown"
"PERT0106","auranofin",10,"24H","MCF7","unknown"
"PERT0107","avermectin b1a",10,"24H","MCF7","unknown"
"PERT0108","AZ-628",10,"24H","MCF7","unknown"
"PERT0109","AZ20",1.11,"24H","MCF7","unknown"
"PERT0110","azacitidine",1.11,"24H","MCF7","unknown"
"PERT0111","azacytidine-5",10,"24H","MCF7","unknown"
"PERT0112","azaperone",10,"6H","MCF7","unknown"
"PERT0113","azathioprine",10,"24H","MCF7","unknown"
"PERT0114","AZD-1480",10,"24H","MCF7","unknown"
"PERT0115","AZD-5438",1.11,"24H","MCF7","unknown"
"PERT0116","AZD-6482",10,"24H","MCF7","unknown"
"PERT0117","azd-7545-a",22.2,"24H","MCF7","unknown"
"PERT0118","AZD-7762",0.04,"24H","MCF7","unknown"
"PERT0119","AZD-8055",0.04,"24H","MCF7","unknown"
"PERT0120","AZD-8330",0.37,"24H","MCF7","unknown"
"PERT0121","AZD4547",10,"24H","MCF7","unknown"
"PERT0122","AZD7762",10,"24H","MCF7","unknown"
"PERT0123","azd8055",10,"24H","MCF7","unknown"
"PERT0124","b3063",10,"6H","MCF7","unknown"
"PERT0125","b4313",10,"24H","MCF7","unknown"
"PERT0126","b5313",10,"6H","MCF7","unknown"
"PERT0127","b675700.cdx",0.04,"24H","MCF7","unknown"
"PERT0128","bacampicillin hydrochloride",10,"6H","MCF7","unknown"
"PERT0129","baccatin iii",10,"24H","MCF7","unknown"
"PERT0130","bambuterol hydrochloride",10,"24H","MCF7","unknown"
"PERT0131","bas 00535043",10,"24H","MCF7","unknown"
"PERT0132","bas 09104376",10,"24H","MCF7","unknown"
"PERT0133","bay 11-7821",10,"6H","MCF7","unknown"
"PERT0134","bcl-2 inhibitor",10,"6H","MCF7","unknown"
"PERT0135","bd 1008 dihydrobromide",10,"6H","MCF7","unknown"
"PERT0136","belinostat",0.04,"24H","MCF7","unknown"
"PERT0137","bendroflumethiazide",10,"24H","MCF7","unknown"
"PERT0138","benoxinate hydrochloride",10,"6H","MCF7","unknown"
"PERT0139","benzethonium chloride",10,"24H","MCF7","unknown"
"PERT0140","benzopurpurin (b)",10,"6H","MCF7","unknown"
"PERT0141","benzoxiquine",10,"24H","MCF7","unknown"
"PERT0142","bepridil hydrochloride",10,"6H","MCF7","unknown"
"PERT0143","betamethasone",10,"6H","MCF7","unknown"
"PERT0144","betaxolol hydrochloride",10,"6H","MCF7","unknown"
"PERT0145","bg fa 0953",10,"24H","MCF7","unknown"
"PERT0146","bi 2536",10,"24H","MCF7","unknown"
"PERT0147","BI-2536",0.04,"24H","MCF7","unknown"
"PERT0148","bibr1532",80,"24H","MCF7","unknown"
"PERT0149","bibu 1361 dihydrochloride",10,"24H","MCF7","unknown"
"PERT0150","bibx 1382 dihydrochloride",10,"24H","MCF7","unknown"
"PERT0151","biperiden",10,"6H","MCF7","unknown"
"PERT0152","biperiden hydrochloride",10,"6H","MCF7","unknown"
"PERT0153","bisacodyl",10,"6H","MCF7","unknown"
"PERT0154","bisindolylmaleimide iv",10,"6H","MCF7","unknown"
"PERT0155","bithionate sodium",10,"6H","MCF7","unknown"
"PERT0156","BIX-01294",10,"24H","MCF7","unknown"
"PERT0157","BIX-02189",10,"24H","MCF7","unknown"
"PERT0158","bjm-ctd2-9",10,"24H","MCF7","unknown"
"PERT0159","bl-009",10,"24H","MCF7","unknown"
"PERT0160","bl-010",10,"6H","MCF7","unknown"
"PERT0161","bl-076",10,"6H","MCF7","unknown"
"PERT0162","bl-077",10,"24H","MCF7","unknown"
"PERT0163","blebbistatin",40,"24H","MCF7","unknown"
"PERT0164","bml-259",80,"6H","MCF7","unknown"
"PERT0165","BMS-345541",10,"24H","MCF7","unknown"
"PERT0166","BMS-387032",0.12,"24H","MCF7","unknown"
"PERT0167","bms-536924",11.1,"24H","MCF7","unknown"
"PERT0168","bms-754807",10,"24H","MCF7","unknown"
"PERT0169","BMS-777607",10,"24H","MCF7","unknown"
"PERT0170","BMS509744",10,"24H","MCF7","unknown"
"PERT0171","bmy 14802 hydrochloride",10,"6H","MCF7","unknown"
"PERT0172","bmy 45778",10,"24H","MCF7","unknown"
"PERT0173","bntx maleate",10,"24H","MCF7","unknown"
"PERT0174","bo2 (inhibits rad51)",40,"24H","MCF7","unknown"
"PERT0175","bongkrekic acid",10,"6H","MCF7","unknown"
"PERT0176","bosutinib",10,"24H","MCF7","unknown"
"PERT0177","brazilin",10,"6H","MCF7","unknown"
"PERT0178","BRD-A00420644",10,"24H","MCF7","unknown"
"PERT0179","BRD-A04308630",10,"24H","MCF7","unknown"
"PERT0180","BRD-A05565054",10,"6H","MCF7","unknown"
"PERT0181","BRD-A06929388",10,"6H","MCF7","unknown"
"PERT0182","BRD-A11087911",10,"24H","MCF7","unknown"
"PERT0183","BRD-A11702965",10,"24H","MCF7","unknown"
"PERT0184","BRD-A12083771",10,"6H","MCF7","unknown"
"PERT0185","BRD-A13195221",10,"6H","MCF7","unknown"
"PERT0186","BRD-A13914662",10,"6H","MCF7","unknown"
"PERT0187","BRD-A15010982",10,"24H","MCF7","unknown"
"PERT0188","BRD-A15914070",10,"6H","MCF7","unknown"
"PERT0189","BRD-A16820783",10,"24H","MCF7","unknown"
"PERT0190","BRD-A17718497",10,"24H","MCF7","unknown"
"PERT0191","BRD-A18411371",10,"24H","MCF7","unknown"
"PERT0192","BRD-A18725729",10,"24H","MCF7","unknown"
"PERT0193","BRD-A18763547",10,"6H","MCF7","unknown"
"PERT0194","BRD-A19248578",10,"24H","MCF7","unknown"
"PERT0195","BRD-A20589515",10,"6H","MCF7","unknown"
"PERT0196","BRD-A20697603",10,"24H","MCF7","unknown"
"PERT0197","BRD-A25088322",10,"24H","MCF7","unknown"
"PERT0198","BRD-A25170757",10,"24H","MCF7","unknown"
"PERT0199","BRD-A25337146",10,"6H","MCF7","unknown"
"PERT0200","BRD-A26199074",10,"24H","MCF7","unknown"
"PERT0201","BRD-A27640568",10,"24H","MCF7","unknown"
"PERT0202","BRD-A31107743",0.09,"6H","MCF7","unknown"
"PERT0203","BRD-A31312900",10,"24H","MCF7","unknown"
"PERT0204","BRD-A32214171",10,"6H","MCF7","unknown"
"PERT0205","BRD-A32449311",10,"24H","MCF7","unknown"
"PERT0206","BRD-A36630025",0.35,"24H","MCF7","unknown"
"PERT0207","BRD-A37735495",10,"24H","MCF7","unknown"
"PERT0208","BRD-A39121618",10,"24H","MCF7","unknown"
"PERT0209","BRD-A40431293",10,"24H","MCF7","unknown"
"PERT0210","BRD-A41250203",10,"24H","MCF7","unknown"
"PERT0211","BRD-A41451487",160,"24H","MCF7","unknown"
"PERT0212","BRD-A42737819",10,"24H","MCF7","unknown"
"PERT0213","BRD-A43155244",10,"24H","MCF7","unknown"
"PERT0214","BRD-A43640821",10,"24H","MCF7","unknown"
"PERT0215","BRD-A47816767",10,"24H","MCF7","unknown"
"PERT0216","BRD-A47832959",10,"6H","MCF7","unknown"
"PERT0217","BRD-A48631911",10,"24H","MCF7","unknown"
"PERT0218","BRD-A49848186",10,"24H","MCF7","unknown"
"PERT0219","BRD-A50388635",10,"6H","MCF7","unknown"
"PERT0220","BRD-A50774520",10,"24H","MCF7","unknown"
"PERT0221","BRD-A51777634",10,"24H","MCF7","unknown"
"PERT0222","BRD-A52193669",10,"24H","MCF7","unknown"
"PERT0223","BRD-A54632525",10,"24H","MCF7","unknown"
"PERT0224","BRD-A58924247",10,"24H","MCF7","unknown"
"PERT0225","BRD-A59145032",10,"24H","MCF7","unknown"
"PERT0226","BRD-A59808129",10,"6H","MCF7","unknown"
"PERT0227","BRD-A60245366",10,"24H","MCF7","unknown"
"PERT0228","BRD-A60784279",10,"6H","MCF7","unknown"
"PERT0229","BRD-A61825514",10,"24H","MCF7","unknown"
"PERT0230","BRD-A63583287",10,"24H","MCF7","unknown"
"PERT0231","BRD-A66395008",10,"6H","MCF7","unknown"
"PERT0232","BRD-A68061604",10,"24H","MCF7","unknown"
"PERT0233","BRD-A68065211",10,"24H","MCF7","unknown"
"PERT0234","BRD-A68739437",10,"24H","MCF7","unknown"
"PERT0235","BRD-A68930007 (ouabain)",10,"6H","MCF7","unknown"
"PERT0236","BRD-A72837804",10,"24H","MCF7","unknown"
"PERT0237","BRD-A75301702",10,"24H","MCF7","unknown"
"PERT0238","BRD-A75409952 (wortmannin)",10,"6H","MCF7","unknown"
"PERT0239","BRD-A75931230",10,"6H","MCF7","unknown"
"PERT0240","BRD-A76019558",10,"24H","MCF7","unknown"
"PERT0241","BRD-A77467113",10,"24H","MCF7","unknown"
"PERT0242","BRD-A80574334",10,"24H","MCF7","unknown"
"PERT0243","BRD-A80960055",10,"6H","MCF7","unknown"
"PERT0244","BRD-A81282034",10,"6H","MCF7","unknown"
"PERT0245","BRD-A81530502",10,"24H","MCF7","unknown"
"PERT0246","BRD-A82197375",10,"6H","MCF7","unknown"
"PERT0247","BRD-A83124583",10,"24H","MCF7","unknown"
"PERT0248","BRD-A84102390",10,"24H","MCF7","unknown"
"PERT0249","BRD-A84524947",10,"6H","MCF7","unknown"
"PERT0250","BRD-A86792397",10,"6H","MCF7","unknown"
"PERT0251","BRD-A89049230",10,"24H","MCF7","unknown"
"PERT0252","BRD-A89333723",10,"6H","MCF7","unknown"
"PERT0253","BRD-A90643929",10,"24H","MCF7","unknown"
"PERT0254","BRD-A93393712",10,"24H","MCF7","unknown"
"PERT0255","BRD-A94377914",10,"24H","MCF7","unknown"
"PERT0256","BRD-A98444709",10,"6H","MCF7","unknown"
"PERT0257","BRD-K00007652",10,"24H","MCF7","unknown"
"PERT0258","BRD-K00028814",10,"24H","MCF7","unknown"
"PERT0259","BRD-K00313977",10,"24H","MCF7","unknown"
"PERT0260","BRD-K00317371",10,"24H","MCF7","unknown"
"PERT0261","BRD-K00486725",10,"24H","MCF7","unknown"
"PERT0262","BRD-K00541156",10,"24H","MCF7","unknown"
"PERT0263","BRD-K00551481",10,"24H","MCF7","unknown"
"PERT0264","BRD-K00627859",10,"24H","MCF7","unknown"
"PERT0265","BRD-K01436366",10,"24H","MCF7","unknown"
"PERT0266","BRD-K01614657",10,"24H","MCF7","unknown"
"PERT0267","BRD-K01834163",10,"24H","MCF7","unknown"
"PERT0268","BRD-K01896723",10,"24H","MCF7","unknown"
"PERT0269","BRD-K02113016",44.4,"24H","MCF7","unknown"
"PERT0270","BRD-K02174945",10,"24H","MCF7","unknown"
"PERT0271","BRD-K02562327",10,"24H","MCF7","unknown"
"PERT0272","BRD-K02589376",10,"24H","MCF7","unknown"
"PERT0273","BRD-K03015355",10,"24H","MCF7","unknown"
"PERT0274","BRD-K03122949",10,"24H","MCF7","unknown"
"PERT0275","BRD-K03736784",10,"24H","MCF7","unknown"
"PERT0276","BRD-K03814443",10,"6H","MCF7","unknown"
"PERT0277","BRD-K03829970",10,"24H","MCF7","unknown"
"PERT0278","BRD-K04156788",10,"24H","MCF7","unknown"
"PERT0279","BRD-K04389336",10,"6H","MCF7","unknown"
"PERT0280","BRD-K04534322",10,"24H","MCF7","unknown"
"PERT0281","BRD-K04695623",10,"24H","MCF7","unknown"
"PERT0282","BRD-K04853698",10,"24H","MCF7","unknown"
"PERT0283","BRD-K04923131",10,"24H","MCF7","unknown"
"PERT0284","BRD-K05104363",10,"6H","MCF7","unknown"
"PERT0285","BRD-K05114711",10,"24H","MCF7","unknown"
"PERT0286","BRD-K05153001",10,"24H","MCF7","unknown"
"PERT0287","BRD-K05197617",10,"24H","MCF7","unknown"
"PERT0288","BRD-K05323277",10,"24H","MCF7","unknown"
"PERT0289","BRD-K05331696",10,"24H","MCF7","unknown"
"PERT0290","BRD-K05452595",10,"24H","MCF7","unknown"
"PERT0291","BRD-K05520923",10,"24H","MCF7","unknown"
"PERT0292","BRD-K05549170",10,"6H","MCF7","unknown"
"PERT0293","BRD-K05562558",10,"6H","MCF7","unknown"
"PERT0294","BRD-K05593511",10,"6H","MCF7","unknown"
"PERT0295","BRD-K05649647",20,"24H","MCF7","unknown"
"PERT0296","BRD-K05977823",10,"24H","MCF7","unknown"
"PERT0297","BRD-K06009608",10,"24H","MCF7","unknown"
"PERT0298","BRD-K06217810",10,"24H","MCF7","unknown"
"PERT0299","BRD-K06405410",10,"24H","MCF7","unknown"
"PERT0300","BRD-K06666320",10,"24H","MCF7","unknown"
