"gene","TCGA-BH-A0C0-11A","TCGA-BH-A18J-11A","TCGA-AC-A2FM-11B","TCGA-BH-A18N-11A","TCGA-BH-A0DQ-11A","TCGA-GI-A2C8-11A","TCGA-BH-A0H5-11A","TCGA-BH-A0DZ-11A","TCGA-BH-A0DL-11A","TCGA-BH-A18M-11A","TCGA-E9-A1N9-11A","TCGA-BH-A18Q-11A","TCGA-BH-A1FM-11B","TCGA-BH-A1EO-11A","TCGA-BH-A1F8-11B","TCGA-BH-A0DG-11A","TCGA-E9-A1RB-11A","TCGA-BH-A0DO-11A","TCGA-A7-A13E-11A","TCGA-BH-A1FR-11B","TCGA-A8-A0A7-01A","TCGA-E9-A22D-01A","TCGA-A8-A08H-01A","TCGA-BH-A0DZ-01A","TCGA-BH-A0BQ-01A","TCGA-JL-A3YW-01A","TCGA-E9-A22G-01A","TCGA-AO-A0JE-01A","TCGA-E9-A1N6-01A","TCGA-D8-A1XY-01A","TCGA-C8-A12T-01A","TCGA-AN-A0FX-01A","TCGA-A8-A06U-01A","TCGA-C8-A135-01A","TCGA-S3-AA14-01A","TCGA-E9-A3X8-01A","TCGA-BH-A0AW-01A","TCGA-C8-A12Q-01A","TCGA-AQ-A04L-01B","TCGA-AN-A0XP-01A","TCGA-EW-A6S9-01A","TCGA-A8-A06X-01A","TCGA-C8-A1HF-01A","TCGA-3C-AALK-01A","TCGA-C8-A12P-01A","TCGA-E2-A1IF-01A","TCGA-BH-A0C3-01A","TCGA-EW-A1IZ-01A","TCGA-GM-A2DO-01A","TCGA-EW-A1J5-01A","TCGA-D8-A1XG-01A","TCGA-BH-A5J0-01A","TCGA-E9-A227-01A","TCGA-B6-A1KC-01B","TCGA-AN-A046-01A","TCGA-AN-A0XL-01A","TCGA-E2-A1IL-01A","TCGA-A2-A0YL-01A","TCGA-D8-A1JC-01A","TCGA-AO-A12H-01A","TCGA-D8-A27K-01A","TCGA-A8-A06Y-01A","TCGA-BH-A1EY-01A","TCGA-BH-A0DL-01A","TCGA-GM-A5PX-01A","TCGA-GI-A2C8-01A","TCGA-D8-A73W-01A","TCGA-D8-A1JM-01A","TCGA-A2-A0T7-01A","TCGA-A8-A08I-01A","TCGA-BH-A0BL-01A","TCGA-LL-A441-01A","TCGA-D8-A143-01A","TCGA-EW-A6SB-01A","TCGA-E2-A150-01A","TCGA-A2-A0T2-01A","TCGA-AO-A0JL-01A","TCGA-EW-A1P4-01A","TCGA-LL-A73Y-01A","TCGA-A1-A0SK-01A","TCGA-HN-A2NL-01A","TCGA-C8-A1HJ-01A","TCGA-EW-A1PH-01A","TCGA-E9-A5FL-01A","TCGA-AC-A2QH-01A","TCGA-S3-AA15-01A","TCGA-A2-A3XT-01A","TCGA-D8-A1XQ-01A","TCGA-A7-A4SE-01A","TCGA-D8-A1JF-01A","TCGA-B6-A402-01A","TCGA-AC-A2QH-01B","TCGA-A7-A6VV-01A","TCGA-BH-A0RX-01A","TCGA-AR-A5QQ-01A"
"TTLL10",6.137,6.4274,6.3151,6.6535,6.1439,6.1849,6.3631,6.2658,6.3134,6.4363,6.4868,6.3149,6.2793,7.0151,6.6294,6.0886,6.4208,6.3224,6.8001,6.332,5.8135,5.7783,6.3343,5.6728,5.9532,5.6642,5.568,5.7318,5.8775,5.7133,5.6676,6.085,5.6579,5.573,5.5677,6.1996,5.668,5.955,6.3019,5.8343,5.718,6.0321,5.5617,5.8894,5.3397,6.1504,6.1687,6.0346,6.2807,5.8079,5.7831,6.1079,5.9258,5.87,5.8116,6.0667,6.1244,5.7549,5.706,5.8456,5.8938,5.6512,7.0643,6.489,5.7989,5.7409,5.5585,5.861,6.0564,5.8664,5.9974,6.3932,5.3397,5.9568,6.7504,5.8193,6.3983,6.0481,6.3518,6.1385,5.876,5.7625,5.9213,6.2394,5.3397,6.4076,5.8833,5.7781,6.0733,5.5821,6.0284,5.9051,5.9657,5.8584,5.9101
"TNFRSF18",6.7564,6.8063,8.3442,6.7536,6.6856,5.6889,6.6192,7.0575,7.1562,6.8696,6.5592,6.393,6.2326,6.5558,6.2424,6.4617,6.8365,6.6904,6.3182,6.7984,8.1921,7.5716,6.9419,7.8523,8.9781,8.3392,7.3236,7.5596,7.8298,8.3582,7.2812,6.7716,7.9918,6.898,6.9608,10.6272,8.1535,7.9101,7.2595,8.0399,7.9433,10.2055,7.2166,8.9459,7.7281,10.3969,8.9255,10.8302,9.4864,9.1023,7.3712,8.3256,8.4071,6.2482,8.5073,8.3382,8.6929,7.9409,8.1469,8.1099,7.3765,8.8963,8.4152,8.1597,9.1199,7.0009,9.0916,7.7666,7.7086,7.3553,8.3604,7.8466,7.2795,9.2511,7.6173,7.4942,10.2791,8.8887,7.4936,7.6653,7.2507,7.0951,6.9416,9.7731,5.8546,8.0108,10.1926,7.7719,7.1849,6.426,7.6923,6.03,7.4529,9.0434,9.2844
"TNFRSF4",6.4538,6.8454,7.4599,6.8452,6.768,7.401,6.5248,7.1513,7.0248,6.8696,6.8201,6.594,6.3235,7.3745,7.1623,6.2172,6.3261,6.566,6.9359,7.1329,7.7745,7.7983,7.6335,6.97,7.9826,9.5279,7.0876,8.4222,7.4517,6.9686,7.8548,7.1719,7.1995,7.8856,7.097,9.7349,8.4989,7.3174,7.3833,7.1658,7.6065,7.3944,7.6041,7.9713,7.0788,7.8543,7.3531,9.2272,8.7885,7.037,6.4674,9.07,6.7759,6.6246,7.1327,6.9852,6.8822,6.9139,7.1979,7.0678,6.7021,6.9865,7.7749,7.6227,8.0085,7.1375,8.5982,6.9596,6.9854,7.7811,7.9245,8.4876,7.5164,8.8005,7.5384,8.0022,8.7882,7.3447,8.2565,6.9681,7.7139,6.7525,6.6413,8.2983,6.2908,8.4256,9.0857,7.7393,7.5488,6.426,7.3962,5.7407,8.0687,9.5025,9.5428
"SDF4",11.5609,11.7504,12.6308,11.6659,11.903,11.4792,11.4553,12.3884,11.7393,11.7884,12.0374,11.1439,11.2676,12.1873,11.4441,11.1369,11.5588,11.2375,11.7467,11.4799,12.3462,11.8644,12.3201,13.2259,12.4932,12.7965,11.5455,11.6694,12.1526,11.5156,12.4325,12.098,12.1765,12.1466,12.3425,12.7302,12.4875,12.2954,12.4792,11.9563,12.2658,12.5663,11.6906,12.5623,11.9601,12.5783,12.0989,12.5423,11.754,11.7634,11.268,13.0474,12.2953,10.3857,12.4789,12.1314,12.2431,11.5101,11.0686,12.3111,11.2331,11.5898,11.8414,12.7949,12.1865,11.6345,12.1605,11.9511,11.8778,11.6269,11.5752,11.6513,12.2667,12.4933,12.5867,12.9555,11.9647,12.6579,12.08,11.4842,11.4608,10.055,11.8269,12.8232,11.4696,12.4441,12.6713,11.9522,11.2924,11.0023,11.8268,11.6516,12.2958,12.0807,12.8022
"B3GALT6",9.7014,9.5123,10.9079,9.4288,9.7084,8.8417,9.5097,10.4459,9.6311,9.6159,9.2581,9.2421,9.2681,9.5236,9.4113,9.3331,9.1863,9.7469,9.3359,9.4016,9.7488,9.601,9.9412,10.1211,10.2548,9.9763,9.69,9.1615,9.5318,9.6371,10.5741,9.9552,9.3858,10.2749,9.7606,11.8138,9.9358,9.1777,9.8255,10.0524,10.5181,10.3001,9.766,10.5324,8.8901,10.687,9.2757,10.1547,9.8393,9.201,9.3316,10.6844,10.1093,9.5279,9.6657,10.0895,9.8447,9.8812,9.6547,10.3151,9.9701,9.5987,9.165,10.7042,10.5364,9.0346,9.4689,9.1516,9.6935,9.1894,9.7164,9.2781,10.1473,10.4062,10.224,11.2949,10.7429,10.4753,9.5791,10.5016,10.4399,9.6021,9.4152,10.5831,9.2836,9.7106,10.6157,9.7608,9.5476,8.6441,10.2549,9.8943,10.2342,10.2074,10.7025
"C1QTNF12",5.9254,6.1035,6.8093,5.9717,6.1944,6.1131,6.5573,6.1654,6.0649,6.177,6.1186,6.0788,5.7658,6.2702,5.9831,6.0297,5.9457,6.0091,5.9118,6.1197,7.1394,5.7783,6.263,6.5109,6.2517,6.2976,6.6467,5.9362,6.096,6.0499,6.5744,6.1432,6.2795,7.6611,6.1816,7.9349,6.0309,5.9917,6.4845,5.8343,6.2538,6.31,5.9236,6.7618,5.7958,9.5162,5.9853,6.4025,6.6987,6.0306,6.8445,6.7072,5.7249,5.6762,5.9164,5.9354,6.0965,6.11,6.2254,5.9777,5.8938,7.175,5.8333,6.5287,6.1782,6.1016,6.7946,5.9101,6.5889,5.908,5.9642,6.3932,5.5585,6.458,6.486,6.8656,6.3366,6.2305,6.2859,6.397,5.9577,7.0678,6.8365,7.0933,6.2225,6.4849,6.104,6.5123,6.1839,5.5821,6.5714,6.3814,6.1339,6.1042,6.1413
"UBE2J2",10.1312,10.2389,11.194,10.037,9.9911,10.4638,10.0198,10.8472,10.0987,10.0647,10.0086,9.8622,10.0128,10.4577,10.0613,9.7456,9.8891,10.0367,10.1789,9.7108,10.734,10.63,10.3401,11.7413,10.7608,10.5632,10.4658,9.6888,10.3253,9.846,10.801,10.4767,10.5103,10.6583,10.686,11.7344,11.5038,10.667,10.9381,10.3598,11.0399,10.7941,11.131,10.9542,10.2628,11.0034,10.4003,11.0364,10.4219,10.2748,9.4836,11.2992,10.2503,9.2979,10.5742,10.392,10.3135,10.346,9.7162,10.9131,10.2343,9.854,10.107,11.0702,10.9748,9.9625,10.0439,9.7791,10.3173,9.7037,9.9988,10.021,10.8485,11.2325,10.5291,11.534,10.5967,10.9225,10.3069,11.1821,10.5611,9.9343,10.293,11.3187,9.9462,10.6582,11.4531,10.2643,9.8157,9.446,11.203,10.4859,10.8703,10.3217,11.1911
"SCNN1D",7.609,7.5725,7.9397,7.2547,7.1083,6.7659,7.8471,7.1311,7.1658,7.4594,7.442,7.873,7.5177,6.5351,6.7637,7.3054,6.8215,7.2645,6.6452,7.5644,6.5825,7.3868,6.5734,6.9975,6.9601,7.8065,6.3171,6.7997,6.8059,7.7508,6.4052,6.7137,6.6807,6.2858,8.1703,9.2916,7.139,6.4893,7.6622,6.6792,8.0514,7.1037,7.1006,8.1157,6.4351,8.5787,7.8489,7.4435,10.0608,8.9286,7.1034,8.1236,6.9014,7.0265,7.5016,7.6284,7.901,7.0733,6.9163,7.8112,7.5757,6.7322,6.8803,7.6605,8.9747,7.4839,8.0664,8.9278,6.836,6.7911,6.6388,7.6614,6.561,6.6812,6.4016,7.2195,8.1521,6.5246,7.1559,6.8447,7.9196,6.6373,6.3341,6.7796,7.2107,8.0454,8.3094,6.9821,7.4898,5.9766,8.0672,8.9185,7.6038,6.2288,9.1707
"ACAP3",9.5804,10.0238,10.5051,9.8157,9.5678,10.4367,9.9332,9.9943,9.8044,9.5898,10.3803,9.6768,9.266,9.4555,9.6097,9.1193,9.2494,9.6479,9.4471,9.7636,9.7872,10.5451,9.7718,10.3143,10.1838,10.6143,9.2667,9.0643,10.3612,9.6794,10.1516,10.0955,9.6239,9.8472,11.0993,11.0526,10.3289,10.5859,10.5386,9.5578,11.0488,10.1205,10.7855,10.9273,10.0075,11.2715,10.0483,10.7562,10.8945,10.3877,9.1542,10.556,9.6176,8.4121,10.1939,10.0022,10.2337,9.5735,9.6373,10.1649,10.2008,9.0128,9.9551,11.4068,10.1907,10.2069,10.0011,9.8924,9.824,9.2578,9.6896,10.137,10.0502,10.0706,10.1899,11.0724,10.8156,9.9156,9.8924,9.9525,9.5035,8.7397,9.5629,11.3412,9.4166,10.742,11.9901,9.5715,9.5021,8.7291,10.7646,10.7087,11.6313,9.1977,11.1937
"PUSL1",8.0737,8.2541,9.6027,8.1768,8.0786,8.2728,8.2408,9.222,8.1049,8.1353,8.6119,8.0091,7.9953,8.1122,8.3576,7.9269,7.9931,8.1895,8.0565,8.2326,9.1368,8.9851,8.6818,9.3462,8.8017,9.2725,9.0391,8.0008,9.4418,8.4937,9.435,9.3032,8.6593,9.096,9.4486,10.8288,9.9696,8.9744,9.5629,8.7803,9.2383,9.7431,9.7644,9.3998,8.4629,9.8085,8.931,10.1474,9.1111,8.6235,7.7284,9.9333,8.6999,8.0381,9.4062,8.7027,8.6265,8.8019,8.7326,9.4583,8.5224,8.3322,9.0227,9.9548,9.3171,8.3723,8.2264,9.7756,8.8428,8.0132,8.2283,8.3178,9.3925,10.1105,9.2552,10.2923,9.64,9.1654,8.9074,9.8748,9.2844,8.6063,8.7441,9.8883,8.0211,8.9386,10.1575,8.9595,7.8846,8.0941,9.7336,8.4656,9.8461,9.2566,9.9039
"INTS11",11.2043,11.3653,11.9311,11.0581,11.0814,11.7607,11.1325,11.6896,10.9741,11.1244,11.2796,11.1688,11.0632,10.7944,10.8128,11.0349,10.7313,11.1071,10.6306,10.9091,11.1086,11.4344,11.0501,12.4069,11.4505,11.4999,10.8663,10.5325,11.2055,10.6258,11.9836,11.3306,11.2445,11.572,11.8429,12.5977,11.5763,11.2737,12.0375,10.9884,11.8852,11.1523,11.229,11.8541,11.3821,11.6357,11.1107,11.9206,11.8778,11.4609,10.5809,12.0784,11.1825,9.8509,11.6891,11.3259,11.3947,11.0471,10.5114,11.6794,10.9215,10.6463,10.5494,11.6573,11.6181,10.7876,11.0154,11.2965,11.0044,10.7125,10.6768,11.2427,10.6814,12.0052,11.7631,11.9592,11.087,11.403,11.2398,11.9233,11.6519,10.2546,10.8418,11.541,11.1235,11.5179,11.8372,10.9562,10.5003,9.9996,12.1334,12.0714,11.915,10.6252,11.8188
"CPTP",9.7842,9.7349,10.836,9.6184,9.7305,11.8593,9.6263,10.4552,9.5793,9.3868,9.7769,9.1555,8.9113,9.5595,9.5283,8.9906,9.0876,9.7588,9.3833,9.3468,10.3166,9.8235,9.7205,10.8746,10.5299,10.3327,9.5771,9.0697,10.1946,9.1045,10.2974,10.2044,9.8391,10.222,10.3473,11.1655,11.6068,10.2258,11.1525,10.1387,10.8078,10.7825,10.0774,10.5715,10.0896,10.7915,9.7645,10.8041,10.0874,9.4548,8.8367,11.2089,9.5815,8.3136,10.3301,9.8267,9.8935,9.7834,9.2366,10.6834,9.4984,9.6677,9.3421,10.8549,9.9972,9.5633,9.2948,10.43,9.674,9.3655,9.3493,9.4661,10.5265,11.3055,10.9489,12.4346,10.8379,10.2751,10.1642,9.8292,9.742,8.6746,9.8524,11.0785,7.7238,10.1613,11.3694,9.9351,8.9924,9.1944,10.4477,8.0072,10.9115,10.1957,10.825
"TAS1R3",6.5858,7.1869,6.6646,6.5756,6.532,7.0836,6.2588,6.5629,6.1484,6.1242,6.5237,6.5633,6.2326,6.0033,6.2424,6.0297,6.5268,6.5985,6.0381,6.4486,8.3979,7.0638,5.9214,6.9129,7.5506,6.6887,6.1529,7.5271,5.8775,6.5973,6.0668,6.1972,6.01,6.6374,7.2914,7.0389,9.8007,6.7528,9.8514,7.5516,7.0451,9.3443,6.6626,6.878,8.1358,6.9046,6.5676,7.6525,7.2429,6.3493,5.9644,6.9362,7.436,5.5779,6.8889,7.05,7.0303,6.3198,6.4719,6.1787,7.311,6.4179,6.8935,6.8148,6.5261,6.4282,6.2535,6.8882,6.6919,7.6515,6.2622,6.8485,6.8624,8.7455,7.4458,7.3851,6.2701,6.4439,7.486,6.1921,6.4753,6.1418,6.7052,6.3922,6.7474,10.1207,7.4374,7.5094,6.0106,6.9229,7.3576,7.9135,6.5086,7.0451,7.3168
