"gene","SRR1039508","SRR1039509","SRR1039512","SRR1039513","SRR1039516","SRR1039517","SRR1039520","SRR1039521"
"ENSG00000005249",8.642,8.84,8.7295,9.3861,8.7613,8.8617,8.688,9.3044
"ENSG00000005302",9.379,9.6112,9.2625,9.3828,9.2661,9.4252,9.3079,9.2171
"ENSG00000005339",11.4445,11.1968,11.4853,11.2489,11.5253,11.5687,11.4468,11.5099
"ENSG00000005379",8.5057,8.452,8.1043,8.256,8.3357,8.6704,8.2469,8.2971
"ENSG00000005381",7.0103,7.1994,7.1194,6.9051,6.7344,6.939,7.0904,6.9832
"ENSG00000005436",8.619,8.7397,8.7326,8.8453,8.8399,8.9411,8.8009,8.8291
"ENSG00000005448",8.6757,8.6989,8.6953,8.6876,8.5773,8.9629,8.4995,8.8113
"ENSG00000005469",9.4154,9.2703,8.8013,8.7897,9.5097,9.118,9.5647,9.4437
"ENSG00000005471",7.8145,7.3562,7.7127,7.4318,7.3207,7.2334,7.7631,7.4031
"ENSG00000005483",10.851,10.8476,10.6844,10.8475,10.9948,10.9914,10.881,11.0321
"ENSG00000005486",9.8937,9.7974,10.16,10.0277,10.2406,10.2536,10.0092,9.8581
"ENSG00000005700",10.2856,10.1323,10.5384,10.4344,10.3859,10.4739,10.5134,10.4903
"ENSG00000005801",8.5636,8.5493,8.7719,8.5947,8.8456,8.5803,8.6382,8.4019
"ENSG00000005810",11.4691,11.2646,11.247,11.2873,11.4042,11.4721,11.3527,11.3672
"ENSG00000005812",10.5841,10.7702,10.4258,11.0687,10.179,10.5534,10.5188,10.9556
"ENSG00000005882",9.6341,9.6586,9.6911,9.6552,9.8042,9.5528,9.8239,9.8862
"ENSG00000005884",9.8007,9.8637,10.5823,10.8684,10.3795,11.0299,10.5663,10.7723
"ENSG00000005889",9.7534,9.7507,9.7369,9.8046,9.8587,9.9637,10.2438,10.336
"ENSG00000005893",12.3429,12.344,12.4209,12.5415,12.2908,12.3391,12.3823,12.4704
"ENSG00000005955",10.5543,10.6735,10.7386,10.7986,10.6916,10.6227,10.508,10.7793
"ENSG00000005961",7.0428,7.2219,7.1786,7.0297,7.0745,6.9983,7.2764,7.1874
"ENSG00000006007",11.0387,11.1321,11.1746,11.4042,11.3638,11.436,11.026,11.2508
"ENSG00000006015",9.455,9.4792,9.0756,8.8891,8.6646,8.8116,9.3231,9.2065
"ENSG00000006016",8.2512,8.12,7.9706,8.2152,7.8514,8.2023,8.8194,8.8677
"ENSG00000006025",8.6757,8.3461,8.7203,8.1815,8.3938,7.8691,8.6717,8.1446
"ENSG00000006042",11.6103,11.4915,11.6952,11.6924,11.7651,11.7639,11.7264,11.7298
"ENSG00000006062",8.8255,8.7714,8.7078,8.19,8.7492,8.238,8.6467,8.2176
"ENSG00000006114",10.4518,9.9585,10.3608,10.0193,10.5609,10.0606,10.3211,9.9469
"ENSG00000006118",9.4468,9.1496,9.4249,9.1604,9.6898,9.2743,9.2454,8.8113
"ENSG00000006125",12.8177,12.5968,12.7328,12.9363,12.7923,12.7616,12.6145,12.8247
"ENSG00000006194",9.5015,9.4513,9.4321,9.7242,9.5735,9.6476,9.5305,9.5223
"ENSG00000006210",7.0428,7.0952,6.9163,7.0297,6.9573,7.1903,7.2366,7.5254
"ENSG00000006282",10.9021,10.7107,10.3831,10.3119,10.637,10.5894,10.7123,10.6411
"ENSG00000006283",8.1463,7.7066,7.5381,7.1152,8.2745,7.7505,7.9969,7.4464
"ENSG00000006327",9.5015,9.1844,9.5783,9.1759,9.6624,10.1989,9.6993,9.1849
"ENSG00000006432",7.0428,7.0293,7.0742,7.1152,7.1789,7.0465,6.88,6.9377
"ENSG00000006451",10.9343,10.2649,10.1952,9.9854,10.5907,10.0049,10.4529,10.0364
"ENSG00000006453",8.2977,8.1468,8.4784,8.4131,8.4336,8.3911,8.4609,8.2916
"ENSG00000006459",9.2634,9.1229,8.8938,9.2904,9.1945,8.8285,9.3918,9.5031
"ENSG00000006468",8.619,8.1132,8.4784,8.4943,8.3357,8.4248,9.0602,8.8677
"ENSG00000006530",8.9236,8.9605,8.91,8.9452,9.1005,9.0366,8.9081,8.9151
"ENSG00000006534",10.0458,10.4934,10.4347,10.5342,10.5478,10.9979,9.5856,10.0968
"ENSG00000006576",10.1103,9.8602,10.5597,10.2474,10.397,9.9937,10.8022,10.3216
"ENSG00000006607",9.7079,9.9941,9.9437,10.4123,9.5898,10.2831,9.9703,10.4677
"ENSG00000006625",8.5916,8.6131,8.5118,8.3631,8.7553,8.7288,8.5229,8.3134
"ENSG00000006634",8.0557,7.9351,8.0057,7.8869,8.0571,7.9019,8.1093,7.9213
"ENSG00000006638",8.004,7.7272,8.0507,7.8281,7.8241,7.5509,7.8954,7.7506
"ENSG00000006652",10.0645,10.1309,10.0904,10.0728,10.5963,10.5206,10.5359,10.4158
"ENSG00000006695",8.4177,8.4418,8.53,8.558,8.4871,8.7871,8.3641,8.4982
"ENSG00000006704",8.9418,8.7596,8.9153,8.7845,8.8734,8.5715,9.0103,9.0834
"ENSG00000006712",10.194,10.1918,10.5318,10.3119,10.5915,10.3013,10.3979,10.2247
"ENSG00000006715",11.1127,10.9459,11.2769,11.324,11.3484,11.2947,11.3273,11.2714
"ENSG00000006740",7.5635,7.4792,7.3975,7.4516,7.5189,7.4555,7.7243,7.7783
"ENSG00000006744",10.1154,10.2845,10.1106,10.1341,10.1401,10.1847,9.8973,10.2065
"ENSG00000006756",9.1679,9.0234,9.248,9.2509,9.3554,9.2811,9.4178,9.6324
"ENSG00000006757",8.1805,8.3896,8.3514,8.248,8.4645,8.3979,8.3747,8.3663
"ENSG00000006788",7.0103,7.5953,6.7344,6.9051,7.022,7.2195,6.7344,7.3725
"ENSG00000006831",10.2867,10.4066,10.2407,10.5269,10.2365,10.4083,10.1758,10.4214
"ENSG00000006837",7.3005,7.0952,7.1966,7.1845,7.2626,7.159,7.2952,7.1399
"ENSG00000007047",9.8526,9.8983,9.834,10.0046,10.013,9.97,9.9089,10.032
"ENSG00000007080",9.6467,9.9354,9.6264,9.6166,9.7604,10.019,9.4731,9.6786
"ENSG00000007168",11.6999,11.7553,11.7474,11.8819,11.7499,11.8337,11.6884,11.8179
"ENSG00000007202",12.0733,11.9483,12.1832,12.112,12.1499,12.3008,12.0908,12.1105
"ENSG00000007237",9.2005,8.2418,8.8129,7.8158,8.7185,8.1011,10.701,9.928
"ENSG00000007255",8.2353,8.416,8.0724,8.4611,8.1907,8.2302,8.2231,8.1256
"ENSG00000007341",8.2824,8.2173,8.2599,8.1729,8.4098,8.6317,8.3904,8.583
"ENSG00000007372",7.5068,7.5953,7.3975,7.5256,7.3343,7.4555,7.6518,7.6189
"ENSG00000007376",8.8548,8.9537,8.5408,8.5073,8.8143,8.9009,8.7241,8.8327
"ENSG00000007384",11.066,11.1697,10.8854,10.7315,10.8546,10.974,11.0146,11.1721
"ENSG00000007392",9.8967,9.7469,9.8065,9.6768,9.8303,9.6238,9.7812,9.7289
"ENSG00000007402",7.3167,7.2639,7.1786,7.4896,7.2309,7.1071,7.3309,7.5254
"ENSG00000007516",7.0428,7.1507,7.0742,7.1152,7.1789,7.1425,7.1187,7.2094
"ENSG00000007520",9.4069,9.4815,9.248,9.1526,9.2475,9.4868,9.2874,9.3604
"ENSG00000007541",9.8371,9.8029,9.6009,9.5479,9.5352,9.8439,9.6506,9.928
"ENSG00000007545",8.5757,8.703,8.5515,8.665,8.6251,8.6484,8.6382,8.5916
"ENSG00000007866",10.6848,11.2938,10.6829,11.1422,10.3015,10.801,10.4763,11.0197
"ENSG00000007923",9.5426,9.632,9.6327,9.6166,9.8138,9.8484,9.6165,9.6067
"ENSG00000007933",9.8832,10.0747,11.0048,11.3282,8.542,8.762,8.9486,8.9381
"ENSG00000007944",9.1215,8.8511,9.3168,8.8986,9.3025,8.9908,9.0784,8.7561
"ENSG00000007952",7.1697,7.2219,7.0975,7.2441,7.1789,7.2195,7.0253,7.1644
"ENSG00000008018",10.8433,10.859,10.7494,10.8475,10.637,10.6564,10.6982,10.7196
"ENSG00000008056",7.1241,7.4506,7.3728,7.3903,7.2309,7.3096,7.2569,7.388
"ENSG00000008083",8.8419,8.9052,8.7387,9.0209,8.8114,9.1802,8.7593,9.1767
"ENSG00000008086",8.0557,8.0856,8.1352,7.7521,8.2051,8.2341,8.174,8.0732
"ENSG00000008118",6.9735,6.9899,7.1194,6.9757,7.1197,6.9705,7.0904,7.2303
"ENSG00000008128",7.5068,7.4358,7.3601,7.2714,7.2142,7.2195,7.5226,7.487
"ENSG00000008130",10.5035,11.1242,10.4541,11.1845,10.4838,10.8838,10.454,11.4662
"ENSG00000008226",7.1475,7.0293,7.0218,6.9757,7.0493,6.939,7.0595,7.2696
"ENSG00000008256",10.9515,11.8204,11.4423,12.4877,11.3228,12.6399,11.2908,12.5107
"ENSG00000008277",7.3005,7.2837,7.3472,7.3684,7.3207,7.2195,7.4265,7.3061
"ENSG00000008282",10.993,11.0869,10.8664,11.3809,10.8257,11.0617,11.1037,11.2751
"ENSG00000008283",9.5388,9.5179,9.4838,9.4569,9.5148,9.6384,9.3965,9.3388
"ENSG00000008294",11.5328,11.4257,11.6483,11.6474,11.5394,11.553,11.7384,11.7162
"ENSG00000008300",7.7982,8.0206,7.9029,7.8982,8.1157,8.2302,7.9357,8.032
"ENSG00000008311",9.4069,10.3026,9.3991,10.2057,9.1705,9.8798,9.4131,10.4225
"ENSG00000008323",7.099,7.2434,6.9915,7.0297,7.1601,7.2469,7.0595,7.0554
"ENSG00000008324",8.1347,8.4571,7.8901,8.3704,8.035,8.1099,8.2231,8.3611
"ENSG00000008382",7.9425,7.9021,7.9093,7.8982,8.0406,8.1143,7.9117,7.9892
"ENSG00000008394",11.4859,11.7137,11.4116,11.6058,12.6272,12.5537,11.5245,11.572
"ENSG00000008405",8.7476,8.9087,8.6921,8.7583,8.7185,8.9167,9.051,8.8327
"ENSG00000008441",13.726,13.3979,13.5022,13.1808,13.3535,13.0508,13.7011,13.3731
"ENSG00000008513",11.1146,10.5994,10.7242,10.0769,11.2661,10.8645,10.9446,10.4079
"ENSG00000008517",8.8419,8.2777,8.8526,8.3335,7.9352,7.8856,8.9815,8.4701
"ENSG00000008710",12.3141,12.5895,12.1902,12.3188,11.9066,12.7038,12.367,13.0132
"ENSG00000008735",7.2302,7.4051,7.2774,7.3457,7.2778,7.175,7.2764,7.4602
"ENSG00000008838",10.4559,10.3691,10.3701,10.2598,10.4718,10.4892,10.36,10.4502
"ENSG00000008853",9.2611,9.5335,9.2929,9.7472,9.3005,9.6185,9.4731,10.0755
"ENSG00000008869",9.8464,9.8479,9.75,9.8192,9.7775,9.7763,9.8637,9.9296
"ENSG00000008952",12.1612,12.3142,12.219,12.4513,12.3151,12.547,12.4297,12.4774
"ENSG00000008988",13.6544,13.6941,13.4615,13.3743,13.279,13.2417,13.3575,13.295
"ENSG00000009307",13.8489,13.827,14.0577,14.0986,14.0616,13.9664,13.8599,13.9729
"ENSG00000009335",11.0902,11.2802,11.0249,11.2726,11.1488,11.3041,11.0357,11.201
"ENSG00000009413",12.311,13.4113,12.1771,13.4296,12.2687,12.8884,12.3759,13.6548
"ENSG00000009724",7.5743,7.5067,7.7586,7.5599,7.5581,7.4828,7.7143,7.5852
"ENSG00000009780",8.3568,8.7112,8.2553,8.7583,8.2287,8.3171,8.3694,8.6543
"ENSG00000009790",7.3167,7.2219,7.2305,7.1845,7.1789,7.175,7.1932,7.1874
"ENSG00000009830",9.2516,9.3713,9.1445,9.3115,9.2905,9.3032,9.2294,9.174
"ENSG00000009844",9.9824,9.8932,10.0926,9.9875,10.1369,10.078,9.9922,10.0641
"ENSG00000009954",11.5238,11.6087,11.5931,11.6209,11.7513,11.5471,11.6846,11.6262
"ENSG00000010017",10.5267,11.226,10.5767,11.3874,10.6916,10.9621,10.7602,11.5735
"ENSG00000010030",7.458,7.2639,7.3064,7.2153,7.2309,7.1071,7.3309,7.1399
"ENSG00000010072",8.4313,8.395,8.4594,8.5266,8.4983,8.3979,8.4899,8.4316
"ENSG00000010165",10.1396,10.2884,10.2046,10.1107,10.0728,9.971,10.0753,10.0305
"ENSG00000010219",8.5636,8.4771,8.6171,8.427,8.6515,8.5417,8.5276,8.3817
"ENSG00000010244",11.1323,11.2514,10.9994,11.0995,11.2465,11.3328,10.8802,11.013
"ENSG00000010256",10.813,11.0965,10.6565,11.0995,10.8783,11.2877,10.6002,11.1594
"ENSG00000010270",10.0512,10.1016,9.8299,9.9127,9.9913,9.8809,9.7165,9.8564
"ENSG00000010278",11.6717,12.0156,11.7549,12.4643,11.2849,11.9005,12.0095,12.4968
"ENSG00000010292",10.5562,10.4006,10.4114,10.4852,10.3353,10.316,10.4199,10.6237
"ENSG00000010295",10.6438,10.6221,10.6963,10.4806,9.9605,9.8897,10.5454,10.6012
"ENSG00000010310",7.1908,7.0639,7.4211,7.1513,7.3476,7.1425,7.4116,7.2303
"ENSG00000010318",7.8462,7.8142,7.8573,8.015,7.891,7.7049,8.0043,8.039
"ENSG00000010322",11.4424,11.1774,11.5533,11.2391,11.724,11.484,11.4851,11.3249
"ENSG00000010361",8.5141,8.577,8.583,8.5704,8.2427,8.2913,8.4947,8.7371
"ENSG00000010404",10.6925,10.7,11.1167,11.3365,11.002,11.2419,11.0712,11.2941
"ENSG00000010438",7.0428,7.0639,7.1401,7.1152,7.2626,7.427,7.4693,7.3566
"ENSG00000010539",8.2299,8.1468,8.1897,8.2235,8.2564,8.238,8.2702,8.0997
"ENSG00000010610",7.495,7.4358,7.9526,7.8982,8.1613,8.0652,7.4411,7.3234
"ENSG00000010626",8.3374,8.1985,8.4284,8.3919,8.3271,8.2496,8.4262,8.1998
"ENSG00000010704",9.4468,9.0864,9.4537,9.4188,9.2392,9.1429,9.448,9.4923
"ENSG00000010803",9.8787,9.917,9.8662,9.9395,9.9974,9.8853,9.9122,9.9024
"ENSG00000010810",10.8586,11.0193,10.652,10.6424,11.1846,11.1366,10.6772,10.7802
"ENSG00000010818",10.8317,10.4798,10.7551,10.3572,10.8984,10.7087,10.7272,10.418
"ENSG00000010932",7.2487,7.3893,7.8573,8.025,6.7344,7.2729,7.4265,7.4179
"ENSG00000011007",10.4107,10.4764,10.1814,10.4329,10.3044,10.4129,10.1744,10.3643
"ENSG00000011009",9.3145,9.5021,9.2501,9.301,9.3025,9.526,9.2744,9.4279
"ENSG00000011021",9.783,9.7278,9.5131,9.5856,9.5784,9.6158,9.6742,9.9024
"ENSG00000011028",14.1358,13.888,14.3262,13.9926,13.9217,13.804,14.1787,14.0069
"ENSG00000011105",11.6464,11.7613,11.5561,11.8773,11.5684,11.959,12.1016,12.3651
"ENSG00000011114",10.5054,10.473,10.2868,10.4593,10.4419,10.5114,10.4268,10.4303
"ENSG00000011132",8.5057,8.6737,8.5264,8.4611,8.5385,8.5537,8.4899,8.5959
"ENSG00000011143",8.5014,8.3461,8.4633,8.248,8.2193,8.0743,8.3956,8.3026
"ENSG00000011198",9.6104,10.8067,9.8121,10.7741,10.2995,10.641,9.6878,10.9648
"ENSG00000011243",9.7468,9.7696,9.7926,9.5479,9.9593,9.6914,9.7409,9.6576
"ENSG00000011258",9.242,8.9707,9.0803,9.0424,9.2475,8.9167,9.3431,9.1658
"ENSG00000011260",9.3593,9.493,8.9904,9.308,9.1189,9.2165,9.0904,9.2434
"ENSG00000011275",10.8738,10.8668,10.8318,10.8155,11.0038,11.0398,10.9083,10.9354
"ENSG00000011295",9.1881,9.2459,9.1378,9.4316,9.1771,9.2002,9.224,9.2171
"ENSG00000011304",11.8614,12.1393,11.4951,11.9,11.6768,12.0328,11.8122,12.1
"ENSG00000011332",7.1908,7.1507,7.2774,7.2441,7.1789,7.3096,7.0595,7.1139
"ENSG00000011347",8.4886,8.1534,8.2912,8.0049,8.5738,8.1187,8.834,8.0865
"ENSG00000011376",9.5426,9.5224,9.1557,9.2139,9.188,9.3032,9.1517,9.0893
"ENSG00000011405",10.337,10.6656,10.5695,10.8522,10.7831,11.0588,10.5808,10.9494
"ENSG00000011422",9.1629,9.1872,9.2768,9.1047,8.9007,9.2165,9.313,9.264
"ENSG00000011426",8.7546,8.787,8.6304,8.6478,8.7092,8.6758,8.6467,8.5959
"ENSG00000011451",10.7804,11.0138,10.6603,10.6315,10.6797,10.7622,10.7584,10.735
"ENSG00000011454",10.9916,11.1249,11.1353,11.8002,11.0897,11.4948,11.1115,11.4802
"ENSG00000011465",17.7121,17.7086,18.4521,18.2863,17.9274,17.7732,18.651,18.5899
"ENSG00000011478",8.0745,8.335,8.1503,8.5887,8.1105,8.4988,8.1988,8.4653
"ENSG00000011485",9.9249,10.4911,9.9273,10.2276,10.059,10.4467,9.862,10.4303
"ENSG00000011523",9.8023,9.9017,10.0373,10.013,10.0473,10.0886,9.8379,10.2387
"ENSG00000011566",10.0525,10.5815,10.3467,10.9721,10.4079,11.2196,10.1454,10.9876
"ENSG00000011638",10.1534,10.1207,9.8834,10.2563,9.8773,9.8244,10.2333,10.3156
"ENSG00000012048",8.9803,8.1402,9.0943,8.3184,8.8624,8.2023,8.8978,8.4267
"ENSG00000012061",9.9583,10.0162,10.1546,9.869,10.082,10.2797,9.8361,9.9008
"ENSG00000012171",10.9558,10.291,11.0558,10.2039,10.4097,9.893,10.7374,10.2438
"ENSG00000012174",9.8087,9.7771,9.7954,9.9239,9.7874,9.9834,9.8239,9.8943
"ENSG00000012211",8.2083,8.3681,8.1301,8.0922,8.1955,8.2535,8.155,8.2916
"ENSG00000012232",10.3695,10.3456,10.4444,10.5815,10.609,10.6641,10.4608,10.6091
"ENSG00000012660",11.1069,11.1242,11.2282,11.7881,11.063,11.5364,11.1235,11.5578
"ENSG00000012817",10.3138,10.3518,10.3074,10.1552,10.4375,10.2459,6.88,6.8782
"ENSG00000012822",12.2108,12.569,12.5374,12.8834,12.4581,12.6368,12.3566,13.0649
"ENSG00000012963",9.5637,9.6154,9.6042,9.5798,9.3952,9.1372,9.6781,9.5434
"ENSG00000012983",10.9278,10.7886,11.0803,10.9976,11.2133,11.1408,11.0551,10.9891
"ENSG00000013016",11.085,11.9409,10.7881,10.753,10.7831,11.3492,10.5559,10.8391
"ENSG00000013275",10.2109,10.3456,10.0385,10.2149,10.1467,10.2587,9.9719,10.0022
"ENSG00000013288",11.63,11.5313,11.8441,11.8617,11.8389,11.9126,11.3479,11.6387
"ENSG00000013293",8.8123,7.4358,9.1333,7.9741,9.3877,7.7377,9.6605,7.9368
"ENSG00000013297",12.6784,10.8899,12.1991,11.1364,12.175,10.023,12.5519,10.9974
"ENSG00000013306",10.2181,10.3205,10.1405,10.0151,10.3748,10.3217,10.0841,10.1024
"ENSG00000013364",13.0741,13.15,12.8632,12.9841,12.7253,12.8487,12.8736,13.0944
"ENSG00000013374",10.2476,10.45,10.5142,10.6665,10.5714,10.554,10.3708,10.6257
"ENSG00000013375",10.2417,9.9828,10.3296,9.9789,10.4268,10.3991,10.3576,10.032
"ENSG00000013392",8.7265,8.4571,8.7896,8.7423,8.8707,8.7288,9.0103,8.804
"ENSG00000013441",11.3787,11.5963,11.1326,11.7143,11.548,11.3681,11.3641,11.7212
"ENSG00000013503",8.7441,8.8766,8.7984,8.7741,8.82,8.9009,8.6592,8.7062
"ENSG00000013523",9.0815,9.0362,9.169,8.8843,9.2454,8.9673,9.1716,8.9544
"ENSG00000013561",9.9234,10.1624,9.9882,10.3786,10.025,10.0905,9.8688,10.2143
"ENSG00000013563",8.2926,8.2173,8.4971,8.6536,8.6483,8.6091,8.3852,8.3349
"ENSG00000013573",9.0234,8.7153,8.6437,8.2069,8.5492,8.3423,8.8376,8.6254
"ENSG00000013583",10.4076,10.5656,10.4733,11.0071,10.6066,10.7448,10.3174,10.8499
"ENSG00000013588",9.4835,9.3487,9.9387,9.9724,9.8733,9.3429,9.2454,9.4256
"ENSG00000013619",9.9337,10.4979,10.2649,10.4746,10.3665,10.4659,10.1648,10.5105
"ENSG00000013810",7.8992,8.0715,7.9706,7.852,7.6976,7.8117,7.8094,7.8483
"ENSG00000014123",10.118,9.9387,10.0302,10.1379,10.1758,9.9731,10.1648,10.0884
"ENSG00000014138",8.5309,8.3843,8.5155,8.3484,8.27,8.238,8.5089,8.4119
